 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
C major (0), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
A minor (0), 3, 1, 3, 0, 2, 0, 4, 1, 3, 1, 1, 1, 1, 3, 3, 4, 0, 3, 3, 5, 5, 3, 3, 4, 0, 3, 3, 5, 4, 1, 3, 1, 3, 0, 2, 0, 4, 1, 1, 88
A minor mel (0), 2, 0, 2, 0, 2, 0, 4, 1, 2, 1, 1, 1, 1, 4, 4, 5, 1, 4, 3, 6, 6, 4, 4, 5, 1, 4, 3, 6, 5, 1, 2, 0, 2, 0, 2, 0, 4, 1, 1, 95
C major blues (0), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 5, 3, 3, 3, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 85
A minor blues (0), 2, 1, 2, 0, 2, 1, 4, 0, 2, 0, 0, 0, 0, 3, 3, 4, 1, 4, 3, 8, 6, 3, 3, 4, 1, 4, 3, 8, 4, 0, 2, 1, 2, 0, 2, 1, 4, 0, 0, 88
C dorian (0), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
C phrygian (0), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
C lydian (0), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 3, 1, 4, 3, 8, 4, 3, 3, 3, 1, 4, 3, 8, 4, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 71
C mixolydian (0), 1, 1, 1, 0, 2, 1, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 6, 3, 1, 1, 1, 0, 2, 2, 6, 2, 0, 1, 1, 1, 0, 2, 1, 4, 0, 0, 52
C aeolian (0), 2, 1, 2, 0, 1, 0, 3, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 3, 3, 7, 3, 2, 2, 2, 0, 3, 3, 7, 3, 0, 2, 1, 2, 0, 1, 0, 3, 0, 0, 64
