 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
A minor (0), 2, 1, 2, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 27
A minor mel (0), 1, 1, 1, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 0, 0, 23
C major blues (0), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
A minor blues (0), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
C dorian (0), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
C phrygian (0), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
C lydian (0), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
C mixolydian (0), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
C aeolian (0), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
C locrian (0), 4, 3, 3, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 2, 3, 1, 30
F major (1b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
G major (1#), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
D minor (1b), 3, 2, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 3, 2, 3, 1, 21
E minor (1#), 0, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 1, 0, 19
D minor mel (1b), 2, 1, 2, 1, 1, 2, 1, 0, 2, 1, 0, 0, 2, 1, 2, 1, 19
E minor mel (1#), 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 8
F major blues (1b), 4, 3, 4, 2, 3, 3, 3, 1, 3, 1, 1, 1, 4, 3, 3, 1, 40
G major blues (1#), 3, 3, 3, 2, 2, 3, 3, 1, 3, 2, 1, 1, 3, 3, 3, 1, 37
D minor blues (1b), 4, 3, 4, 2, 3, 3, 3, 1, 3, 1, 1, 1, 4, 3, 3, 1, 40
E minor blues (1#), 3, 3, 3, 2, 2, 3, 3, 1, 3, 2, 1, 1, 3, 3, 3, 1, 37
F dorian (1b), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
G dorian (1#), 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 0, 0, 1, 1, 1, 0, 15
F phrygian (1b), 4, 3, 3, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 2, 3, 1, 30
G phrygian (1#), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
F lydian (1b), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
G lydian (1#), 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 0, 0, 1, 1, 1, 0, 15
F mixolydian (1b), 4, 3, 3, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 2, 3, 1, 30
G mixolydian (1#), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
F aeolian (1b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
G aeolian (1#), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
F locrian (1b), 4, 2, 4, 1, 3, 1, 2, 1, 1, 0, 1, 1, 4, 2, 2, 1, 30
G locrian (1#), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
Bb major (2b), 4, 3, 3, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 2, 3, 1, 30
D major (2#), 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 0, 0, 1, 1, 1, 0, 15
G minor (2b), 3, 3, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 2, 0, 26
B minor (2#), 1, 1, 2, 0, 0, 1, 3, 0, 1, 2, 0, 0, 1, 1, 1, 0, 14
G minor mel (2b), 2, 3, 2, 1, 1, 2, 3, 1, 2, 2, 1, 1, 2, 3, 2, 0, 28
B minor mel (2#), 1, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 0, 1, 1, 0, 0, 11
Bb major blues (2b), 4, 3, 4, 1, 3, 2, 3, 1, 2, 1, 1, 1, 4, 3, 3, 1, 37
D major blues (2#), 2, 2, 3, 2, 2, 3, 3, 1, 3, 2, 1, 1, 2, 2, 2, 1, 32
G minor blues (2b), 4, 3, 4, 1, 3, 2, 3, 1, 2, 1, 1, 1, 4, 3, 3, 1, 37
B minor blues (2#), 2, 2, 3, 2, 2, 3, 3, 1, 3, 2, 1, 1, 2, 2, 2, 1, 32
Bb dorian (2b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
D dorian (2#), 1, 0, 0, 1, 0, 2, 2, 0, 2, 2, 0, 0, 1, 1, 0, 0, 12
Bb phrygian (2b), 2, 1, 2, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 27
D phrygian (2#), 1, 1, 1, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 0, 0, 23
Bb lydian (2b), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
D lydian (2#), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
Bb mixolydian (2b), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
D mixolydian (2#), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
Bb aeolian (2b), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
D aeolian (2#), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
Bb locrian (2b), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
D locrian (2#), 4, 3, 3, 1, 3, 1, 1, 1, 1, 0, 1, 1, 4, 2, 3, 1, 30
Eb major (3b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
A major (3#), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
C minor (3b), 3, 2, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 3, 2, 3, 1, 21
F# minor (3#), 0, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 1, 0, 19
C minor mel (3b), 3, 2, 3, 2, 3, 2, 1, 1, 2, 0, 1, 1, 3, 1, 2, 1, 28
F# minor mel (3#), 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6
Eb major blues (3b), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
A major blues (3#), 2, 1, 2, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 27
C minor blues (3b), 1, 1, 1, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 0, 0, 23
F# minor blues (3#), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
Eb dorian (3b), 4, 3, 3, 2, 3, 3, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 40
A dorian (3#), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
Eb phrygian (3b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
A phrygian (3#), 1, 2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 1, 1, 2, 1, 0, 26
Eb lydian (3b), 3, 3, 3, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 3, 3, 1, 32
A lydian (3#), 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 1, 30
