 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, rowcost
C major (0),  ,  ,  , 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 13
A minor (0),  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 3, 2, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 23
F major (1b),  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5
G major (1#),  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 2, 1, 1, 1, 0, 1, 1, 3, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 31
D minor (1b),  ,  ,  , 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 3, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 21
E minor (1#),  ,  ,  , 1, 0, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 3, 2, 2, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 34
Bb major (2b),  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
D major (2#),  ,  ,  , 1, 0, 1, 0, 2, 1, 2, 0, 2, 0, 2, 0, 3, 3, 2, 1, 1, 0, 2, 1, 4, 2, 2, 1, 1, 4, 3, 2, 1, 1, 1, 46
G minor (2b),  ,  ,  , 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 21
B minor (2#),  ,  ,  , 2, 1, 2, 0, 1, 1, 3, 1, 3, 1, 3, 0, 2, 3, 2, 1, 2, 1, 3, 1, 3, 3, 3, 1, 2, 3, 4, 3, 1, 1, 1, 58
Eb major (3b),  ,  ,  , 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 18
A major (3#),  ,  ,  , 2, 0, 2, 0, 2, 1, 2, 0, 3, 0, 3, 0, 3, 4, 2, 1, 2, 0, 3, 1, 4, 2, 3, 1, 2, 4, 3, 3, 1, 1, 1, 56
C minor (3b),  ,  ,  , 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0, 26
F# minor (3#),  ,  ,  , 1, 0, 1, 0, 2, 1, 2, 0, 2, 0, 2, 0, 2, 4, 1, 0, 1, 0, 2, 0, 3, 2, 2, 0, 1, 3, 2, 2, 0, 0, 0, 36
Ab major (4b),  ,  ,  , 2, 2, 2, 1, 1, 0, 3, 2, 2, 2, 2, 1, 1, 1, 2, 0, 3, 2, 2, 0, 0, 3, 2, 0, 2, 0, 3, 2, 0, 0, 0, 43
E major (4#),  ,  ,  , 2, 0, 2, 1, 3, 1, 2, 0, 3, 0, 3, 1, 4, 3, 3, 1, 2, 0, 3, 1, 3, 2, 3, 1, 2, 3, 3, 3, 1, 1, 1, 58
F minor (4b),  ,  ,  , 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 0, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 27
C# minor (4#),  ,  ,  , 3, 0, 3, 1, 2, 0, 1, 0, 3, 0, 3, 1, 3, 2, 2, 1, 4, 0, 3, 1, 2, 1, 3, 1, 3, 2, 2, 3, 1, 1, 1, 53
Db major (5b),  ,  ,  , 3, 2, 3, 2, 2, 0, 3, 2, 3, 2, 3, 2, 2, 2, 2, 0, 4, 2, 3, 0, 0, 3, 3, 0, 3, 0, 3, 3, 0, 0, 0, 57
B major (5#),  ,  ,  , 3, 1, 3, 1, 2, 1, 3, 1, 4, 1, 4, 1, 3, 2, 3, 1, 3, 1, 4, 1, 2, 3, 4, 1, 3, 2, 4, 4, 1, 1, 1, 69
Bb minor (5b),  ,  ,  , 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 16
G# minor (5#),  ,  ,  , 2, 1, 2, 2, 3, 1, 3, 1, 3, 1, 3, 2, 4, 3, 5, 1, 2, 1, 3, 1, 2, 3, 3, 1, 2, 2, 4, 3, 1, 1, 1, 67
Gb major (6b),  ,  ,  , 4, 2, 4, 2, 3, 1, 4, 2, 5, 2, 5, 2, 3, 3, 3, 0, 4, 2, 5, 0, 1, 4, 5, 0, 4, 1, 4, 5, 0, 0, 0, 80
F# major (6#),  ,  ,  , 2, 1, 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 2, 1, 3, 0, 1, 3, 3, 0, 2, 1, 3, 3, 0, 0, 0, 49
Eb minor (6b),  ,  ,  , 2, 1, 2, 0, 1, 1, 2, 1, 3, 1, 3, 0, 1, 1, 1, 0, 2, 1, 3, 0, 1, 2, 3, 0, 2, 1, 2, 3, 0, 0, 0, 40
D# minor (6#),  ,  ,  , 4, 2, 4, 0, 1, 1, 3, 2, 5, 2, 5, 0, 1, 1, 1, 0, 4, 2, 5, 0, 1, 3, 5, 0, 4, 1, 3, 5, 0, 0, 0, 65
Cb major (7b),  ,  ,  , 5, 2, 5, 2, 4, 2, 5, 2, 7, 2, 7, 2, 5, 4, 5, 1, 5, 2, 7, 1, 3, 5, 7, 1, 5, 3, 6, 7, 1, 1, 1, 115
C# major (7#),  ,  ,  , 3, 1, 3, 1, 1, 0, 2, 1, 3, 1, 3, 1, 1, 1, 1, 0, 4, 1, 3, 0, 0, 2, 3, 0, 3, 0, 2, 3, 0, 0, 0, 44
Ab minor (7b),  ,  ,  , 3, 2, 3, 1, 2, 1, 4, 2, 4, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 2, 4, 4, 1, 3, 2, 5, 4, 1, 1, 1, 77
A# minor (7#),  ,  ,  , 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 31
