 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 0, 1, 2, 1, 0, 1, 5, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, 28
A minor (0), 1, 1, 5, 1, 1, 1, 5, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 4, 2, 1, 1, 4, 1, 0, 1, 0, 2, 1, 1, 0, 0, 42
F major (1b), 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7
G major (1#), 0, 2, 5, 2, 0, 2, 4, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1, 1, 1, 1, 41
D minor (1b), 1, 0, 4, 1, 1, 0, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 5, 0, 1, 1, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 33
E minor (1#), 0, 2, 4, 3, 0, 2, 6, 1, 0, 3, 0, 4, 2, 2, 1, 2, 2, 0, 2, 2, 2, 5, 2, 2, 2, 5, 1, 0, 3, 0, 4, 2, 2, 1, 1, 70
Bb major (2b), 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6
D major (2#), 1, 2, 4, 3, 1, 2, 5, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 6, 1, 2, 2, 6, 1, 0, 2, 0, 1, 1, 1, 1, 1, 61
G minor (2b), 0, 1, 4, 1, 0, 1, 3, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 22
B minor (2#), 1, 1, 4, 3, 1, 1, 4, 2, 1, 5, 1, 4, 2, 2, 1, 1, 3, 1, 1, 3, 3, 5, 0, 3, 3, 5, 1, 1, 5, 1, 4, 2, 2, 1, 1, 79
Eb major (3b), 0, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 0, 0, 23
