 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 0/0, 1/0, 2/3, 1/0, 0/0, 1/0, 5/3, 0/0, 0/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 2/3, 1/0, 1/0, 1/0, 2/3, 0/0, 0/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 28/14
A minor (0), 0/0, 1/0, 5/4, 1/1, 0/0, 1/0, 5/3, 0/0, 0/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/1, 0/0, 1/1, 1/1, 1/1, 5/5, 1/0, 1/0, 1/0, 5/3, 0/0, 0/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 0/0, 37/20
F major (1b), 0/0, 0/0, 2/3, 0/0, 0/0, 0/0, 1/3, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/3, 0/0, 0/0, 0/0, 1/3, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 7/14
G major (1#), 0/0, 2/0, 5/3, 2/0, 0/0, 2/0, 4/3, 1/0, 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/1, 1/1, 2/3, 1/0, 1/0, 1/0, 2/3, 0/0, 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 1/0, 1/0, 41/17
D minor (1b), 0/0, 0/0, 5/3, 0/0, 0/0, 0/0, 4/3, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3, 0/0, 0/0, 0/0, 4/3, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 19/12
E minor (1#), 0/0, 2/2, 5/2, 3/1, 0/0, 2/2, 6/5, 1/0, 0/0, 3/2, 0/0, 4/2, 1/1, 1/0, 1/0, 1/0, 1/1, 0/0, 1/1, 1/1, 1/1, 5/5, 1/1, 1/1, 1/1, 5/5, 0/0, 0/0, 3/2, 0/0, 4/2, 1/2, 1/0, 1/0, 1/0, 58/40
Bb major (2b), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 6/0
D major (2#), 1/0, 2/0, 4/4, 3/0, 1/0, 2/0, 5/3, 2/0, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 2/2, 2/2, 2/2, 6/3, 1/0, 2/2, 2/2, 6/3, 1/0, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 61/24
G minor (2b), 0/0, 0/0, 4/3, 0/0, 0/0, 0/0, 4/3, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/3, 0/0, 0/0, 0/0, 1/3, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 12/14
B minor (2#), 1/0, 2/3, 4/3, 4/3, 1/0, 2/3, 5/8, 2/1, 0/0, 4/2, 0/0, 3/2, 1/1, 1/2, 1/1, 1/2, 2/2, 1/0, 2/1, 2/1, 2/1, 6/5, 1/0, 2/2, 2/1, 6/5, 1/0, 0/0, 4/2, 0/0, 3/2, 1/2, 1/2, 1/1, 1/1, 70/59
Eb major (3b), 0/0, 0/0, 1/0, 1/2, 0/0, 0/0, 2/3, 0/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 0/0, 23/7
A major (3#), 2/0, 2/0, 4/3, 3/1, 2/0, 2/0, 5/3, 2/0, 0/0, 2/2, 0/0, 1/2, 1/1, 2/1, 1/0, 1/0, 3/1, 1/0, 2/1, 2/1, 2/1, 5/5, 2/0, 2/1, 2/1, 5/5, 2/0, 0/0, 2/2, 0/0, 1/2, 1/2, 2/1, 1/0, 1/0, 66/36
C minor (3b), 0/0, 0/0, 1/0, 1/2, 0/0, 0/0, 5/4, 0/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/2, 0/0, 0/0, 1/0, 0/0, 0/1, 1/1, 1/1, 0/2, 0/0, 1/0, 1/0, 0/3, 0/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/2, 0/0, 0/0, 26/20
F# minor (3#), 2/1, 2/0, 2/0, 4/2, 2/1, 2/0, 5/2, 2/0, 0/0, 4/2, 0/0, 3/2, 1/1, 2/1, 1/0, 1/0, 3/2, 1/0, 2/1, 2/2, 2/2, 5/5, 2/0, 2/3, 2/3, 5/5, 2/2, 0/0, 4/3, 0/0, 3/2, 1/2, 2/1, 1/0, 1/0, 73/45
Ab major (4b), 0/0, 0/0, 0/0, 2/4, 0/0, 0/0, 4/5, 0/0, 2/2, 6/4, 2/2, 6/4, 4/4, 3/2, 0/0, 1/0, 3/2, 0/0, 1/0, 4/4, 4/4, 0/0, 1/0, 4/4, 4/4, 0/0, 1/0, 2/2, 6/4, 2/2, 6/4, 4/2, 3/2, 0/0, 0/0, 75/61
E major (4#), 2/0, 2/2, 3/2, 4/4, 2/0, 2/2, 7/6, 2/0, 0/0, 4/2, 0/0, 3/2, 2/1, 3/1, 1/0, 2/0, 4/1, 1/0, 3/1, 3/1, 3/1, 5/5, 3/0, 3/2, 3/1, 5/5, 3/0, 0/0, 4/2, 0/0, 3/2, 2/2, 3/1, 1/0, 1/0, 89/46
F minor (4b), 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/2, 2/0, 0/0, 1/0, 2/0, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/1, 2/0, 2/0, 0/0, 0/0, 33/5
C# minor (4#), 3/3, 2/0, 1/0, 4/2, 3/3, 2/0, 5/1, 2/0, 0/0, 4/2, 0/0, 3/2, 2/1, 4/2, 1/0, 2/0, 5/3, 1/0, 3/1, 3/2, 3/2, 4/3, 4/4, 3/3, 3/3, 4/3, 4/4, 0/0, 4/2, 0/0, 3/2, 2/2, 4/2, 1/0, 1/0, 90/52
Db major (5b), 1/0, 0/0, 0/0, 2/4, 1/0, 0/0, 3/2, 0/0, 2/2, 6/4, 2/2, 6/4, 5/8, 5/4, 0/0, 2/2, 5/4, 0/0, 2/2, 5/6, 5/6, 1/0, 3/6, 5/6, 5/6, 1/0, 3/2, 2/2, 6/4, 2/2, 6/4, 5/6, 5/4, 0/0, 0/0, 96/92
B major (5#), 2/0, 1/0, 3/2, 3/3, 2/0, 1/0, 4/2, 2/1, 1/0, 5/3, 1/0, 4/2, 3/1, 4/2, 1/0, 2/0, 5/2, 1/1, 2/3, 4/4, 4/4, 4/5, 2/0, 4/2, 4/2, 4/5, 3/2, 1/0, 5/2, 1/0, 4/2, 3/2, 4/2, 1/0, 1/0, 96/54
Bb minor (5b), 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/0, 3/0, 0/0, 1/0, 3/0, 0/0, 1/0, 2/0, 2/0, 1/3, 2/0, 2/0, 2/0, 1/3, 2/0, 1/0, 1/0, 1/0, 1/0, 2/0, 3/0, 0/0, 0/0, 41/6
G# minor (5#), 3/1, 1/0, 1/0, 3/2, 3/1, 1/0, 4/1, 2/0, 1/1, 5/2, 1/1, 4/2, 4/5, 6/4, 1/0, 3/2, 7/5, 1/0, 3/2, 5/3, 5/3, 3/3, 4/10, 5/5, 5/3, 3/3, 5/6, 1/0, 5/2, 1/1, 4/2, 4/6, 6/4, 1/0, 1/0, 112/80
Gb major (6b), 3/2, 0/0, 1/0, 3/4, 3/2, 0/0, 4/3, 1/0, 2/2, 7/4, 2/2, 6/4, 5/8, 6/6, 0/0, 2/2, 7/6, 1/0, 3/2, 6/6, 6/6, 6/4, 4/10, 6/6, 6/6, 6/4, 5/4, 2/2, 7/4, 2/2, 6/4, 5/6, 6/6, 0/0, 0/0, 129/117
