 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 1/2, 1/2, 4/4, 2/1, 0/0, 0/0, 1/0, 0/0, 4/5, 3/3, 2/4, 3/2, 0/0, 0/0, 1/0, 1/0, 23/23
A minor (0), 1/0, 1/0, 4/4, 2/1, 0/0, 0/0, 2/1, 0/0, 4/2, 3/2, 2/0, 2/0, 0/0, 0/0, 1/0, 1/0, 23/10
F major (1b), 1/0, 1/0, 3/1, 2/1, 0/0, 0/0, 1/0, 0/0, 3/0, 3/1, 2/2, 3/2, 1/0, 1/0, 0/0, 0/0, 21/7
G major (1#), 1/2, 1/2, 4/4, 1/1, 1/0, 1/0, 2/1, 0/0, 3/5, 4/3, 1/1, 2/1, 0/0, 0/0, 1/1, 1/1, 23/22
D minor (1b), 1/0, 1/0, 3/4, 2/1, 0/0, 0/0, 2/1, 0/0, 4/2, 3/2, 2/3, 2/1, 1/0, 1/0, 0/0, 0/0, 22/14
E minor (1#), 1/0, 1/0, 2/2, 1/1, 1/2, 1/2, 3/3, 0/0, 3/4, 4/2, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 21/16
Bb major (2b), 1/0, 1/0, 2/0, 2/1, 0/0, 0/0, 1/0, 1/0, 2/0, 2/0, 3/2, 3/1, 1/0, 1/0, 0/0, 0/0, 20/4
D major (2#), 1/0, 1/0, 4/2, 1/1, 1/2, 1/2, 3/3, 0/0, 2/4, 4/2, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 22/16
G minor (2b), 1/0, 1/0, 3/1, 2/1, 0/0, 0/0, 1/0, 1/0, 3/2, 2/2, 3/5, 3/2, 1/0, 1/0, 0/0, 0/0, 22/13
B minor (2#), 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 3/4, 0/0, 2/0, 3/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 19/6
Eb major (3b), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/1, 2/0, 1/0, 4/2, 2/1, 1/0, 1/0, 0/0, 0/0, 14/5
A major (3#), 0/0, 0/0, 3/2, 2/1, 1/2, 1/2, 4/4, 0/0, 2/4, 3/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 18/16
C minor (3b), 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 1/0, 3/1, 1/1, 4/5, 2/2, 1/1, 1/1, 0/0, 0/0, 16/13
F# minor (3#), 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 4/4, 0/0, 2/0, 2/0, 0/1, 0/0, 0/0, 0/0, 1/0, 1/0, 15/6
Ab major (4b), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 4/4, 3/2, 1/0, 1/0, 0/0, 0/0, 14/8
E major (4#), 0/0, 0/0, 1/0, 2/1, 1/2, 1/2, 4/4, 0/0, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 14/11
F minor (4b), 0/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 4/2, 2/1, 1/1, 1/1, 0/0, 0/0, 14/7
C# minor (4#), 0/0, 0/0, 1/0, 3/1, 1/0, 1/0, 3/2, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 13/3
Db major (5b), 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 3/4, 2/2, 1/0, 1/0, 0/0, 0/0, 12/8
B major (5#), 0/0, 0/0, 0/0, 2/1, 1/0, 1/0, 4/4, 0/0, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 12/6
Bb minor (5b), 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 3/2, 1/1, 1/0, 1/0, 0/0, 0/0, 11/5
G# minor (5#), 0/0, 0/0, 0/0, 3/1, 1/0, 1/0, 3/2, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 12/3
Gb major (6b), 0/0, 0/0, 0/0, 3/3, 0/0, 0/0, 5/4, 1/0, 0/0, 0/0, 3/2, 2/2, 0/0, 0/0, 0/0, 0/0, 14/11
F# major (6#), 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 3/4, 1/0, 0/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 9/6
Eb minor (6b), 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 3/2, 1/1, 0/0, 0/0, 0/0, 0/0, 8/4
D# minor (6#), 0/0, 0/0, 0/0, 3/1, 0/0, 0/0, 2/2, 1/0, 0/0, 0/0, 4/3, 2/2, 0/0, 0/0, 0/0, 0/0, 12/8
Cb major (7b), 0/0, 0/0, 0/0, 3/3, 1/0, 1/0, 6/4, 0/0, 1/0, 1/0, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 17/11
C# major (7#), 0/0, 0/0, 1/0, 3/1, 0/0, 0/0, 2/4, 1/0, 0/0, 0/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 12/5
Ab minor (7b), 0/0, 0/0, 0/0, 2/1, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/4, 2/2, 0/0, 0/0, 0/0, 0/0, 12/7
