 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1/1, 2/1,  ,  , 2/2, 3/2,  ,  , 1/1, 2/1, 11/8
A minor (0), 2/1, 3/1,  ,  , 2/1, 3/1,  ,  , 2/1, 3/1, 15/6
F major (1b), 1/1, 1/1,  ,  , 2/2, 2/2,  ,  , 1/1, 1/1, 8/8
G major (1#), 2/1, 3/1,  ,  , 3/1, 4/3,  ,  , 2/1, 3/2, 17/9
D minor (1b), 1/1, 1/1,  ,  , 2/1, 2/1,  ,  , 1/1, 1/1, 8/6
E minor (1#), 3/3, 4/2,  ,  , 3/1, 4/2,  ,  , 3/1, 4/2, 21/11
Bb major (2b), 2/1, 0/0,  ,  , 3/2, 1/2,  ,  , 2/1, 0/0, 8/6
D major (2#), 2/1, 3/1,  ,  , 2/1, 3/1,  ,  , 2/1, 3/1, 15/6
G minor (2b), 2/1, 0/1,  ,  , 3/1, 1/1,  ,  , 2/1, 0/1, 8/6
B minor (2#), 4/3, 4/4,  ,  , 3/3, 3/4,  ,  , 4/3, 4/4, 22/21
Eb major (3b), 1/1, 1/1,  ,  , 2/1, 2/2,  ,  , 1/1, 1/1, 8/7
A major (3#), 3/1, 4/1,  ,  , 2/1, 3/1,  ,  , 3/1, 4/1, 19/6
C minor (3b), 2/1, 1/1,  ,  , 3/1, 2/2,  ,  , 2/1, 1/0, 11/6
F# minor (3#), 4/2, 4/2,  ,  , 3/1, 3/1,  ,  , 4/2, 4/2, 22/10
Ab major (4b), 2/1, 4/2,  ,  , 1/1, 3/3,  ,  , 2/1, 4/2, 16/10
E major (4#), 2/3, 3/4,  ,  , 1/2, 2/3,  ,  , 2/3, 3/4, 13/19
F minor (4b), 3/1, 2/1,  ,  , 2/1, 1/0,  ,  , 3/1, 2/1, 13/5
C# minor (4#), 3/3, 3/4,  ,  , 2/2, 2/3,  ,  , 3/3, 3/4, 16/19
Db major (5b), 3/3, 5/4,  ,  , 1/1, 3/2,  ,  , 3/3, 5/4, 20/17
B major (5#), 3/3, 4/4,  ,  , 2/2, 3/3,  ,  , 3/3, 4/4, 19/19
Bb minor (5b), 3/1, 2/1,  ,  , 2/1, 1/0,  ,  , 3/1, 2/1, 13/5
G# minor (5#), 4/1, 5/1,  ,  , 2/1, 3/1,  ,  , 4/1, 5/1, 23/6
Gb major (6b), 3/3, 5/4,  ,  , 1/1, 3/3,  ,  , 3/3, 5/4, 20/18
F# major (6#), 2/2, 3/2,  ,  , 1/1, 2/1,  ,  , 2/2, 3/2, 13/10
Eb minor (6b), 2/1, 2/1,  ,  , 1/1, 1/0,  ,  , 2/1, 2/1, 10/5
D# minor (6#), 3/1, 4/2,  ,  , 1/1, 2/2,  ,  , 3/1, 4/2, 17/9
Cb major (7b), 4/3, 6/4,  ,  , 2/1, 4/3,  ,  , 4/3, 6/4, 26/18
C# major (7#), 2/2, 3/2,  ,  , 1/1, 2/1,  ,  , 2/2, 3/2, 13/10
Ab minor (7b), 3/1, 5/2,  ,  , 2/1, 4/3,  ,  , 3/1, 5/2, 22/10
A# minor (7#), 5/2, 4/2,  ,  , 3/2, 2/0,  ,  , 5/2, 4/2, 23/10
