 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
A minor (0), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
F major (1b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
G major (1#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D minor (1b), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
E minor (1#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
Bb major (2b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
D major (2#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
G minor (2b), 3, 1,  ,  , 4, 2,  ,  , 3, 1, 14
B minor (2#), 4, 5,  ,  , 3, 4,  ,  , 4, 5, 25
Eb major (3b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
A major (3#), 3, 4,  ,  , 2, 3,  ,  , 3, 4, 19
C minor (3b), 2, 2,  ,  , 3, 3,  ,  , 2, 2, 14
F# minor (3#), 3, 3,  ,  , 2, 2,  ,  , 3, 3, 16
Ab major (4b), 2, 4,  ,  , 1, 3,  ,  , 2, 4, 16
E major (4#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
F minor (4b), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
C# minor (4#), 3, 3,  ,  , 2, 2,  ,  , 3, 3, 16
Db major (5b), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
B major (5#), 3, 4,  ,  , 2, 3,  ,  , 3, 4, 19
Bb minor (5b), 3, 1,  ,  , 2, 0,  ,  , 3, 1, 10
G# minor (5#), 4, 5,  ,  , 2, 3,  ,  , 4, 5, 23
Gb major (6b), 3, 5,  ,  , 1, 3,  ,  , 3, 5, 20
F# major (6#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
Eb minor (6b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
D# minor (6#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
Cb major (7b), 4, 6,  ,  , 2, 4,  ,  , 4, 6, 26
C# major (7#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
Ab minor (7b), 3, 5,  ,  , 2, 4,  ,  , 3, 5, 22
A# minor (7#), 5, 2,  ,  , 3, 0,  ,  , 5, 2, 17
