 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, rowcost
C major (0), 0, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 18
A minor (0), 0, 0, 2, 1, 1, 2, 2, 2, 0, 2, 0, 2, 2, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 30
A minor mel (0), 0, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1, 22
C major blues (0), 1, 1, 3, 0, 2, 2, 3, 2, 1, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 2, 2, 3, 2, 1, 1, 1, 0, 42
A minor blues (0), 1, 1, 3, 0, 2, 2, 3, 3, 1, 3, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 2, 2, 3, 3, 1, 1, 1, 0, 45
C dorian (0), 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 10
C phrygian (0), 0, 1, 3, 0, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 3, 0, 1, 1, 2, 1, 1, 1, 1, 0, 28
C lydian (0), 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 10
C mixolydian (0), 0, 1, 3, 0, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 3, 0, 1, 1, 2, 1, 1, 1, 1, 0, 28
C aeolian (0), 0, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 18
C locrian (0), 1, 1, 2, 0, 2, 2, 3, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 2, 3, 2, 1, 1, 1, 0, 39
F major (1b), 0, 1, 3, 0, 1, 1, 1, 1, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1, 0, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 27
G major (1#), 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 10
D minor (1b), 0, 1, 3, 0, 0, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 1, 2, 2, 0, 1, 3, 0, 0, 1, 2, 2, 1, 1, 2, 0, 32
E minor (1#), 0, 0, 0, 0, 1, 0, 2, 3, 1, 3, 1, 0, 4, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 3, 1, 0, 0, 0, 25
D minor mel (1b), 0, 0, 2, 0, 0, 1, 2, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 2, 2, 0, 0, 2, 0, 22
E minor mel (1#), 0, 0, 0, 0, 0, 0, 2, 4, 1, 4, 1, 0, 4, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 2, 4, 1, 0, 1, 0, 29
F major blues (1b), 1, 2, 4, 1, 2, 2, 2, 2, 1, 2, 0, 3, 2, 2, 1, 2, 1, 1, 1, 2, 4, 1, 2, 2, 2, 2, 1, 2, 1, 0, 51
G major blues (1#), 0, 1, 3, 0, 1, 1, 2, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 2, 0, 1, 3, 0, 1, 1, 2, 2, 1, 1, 2, 0, 35
D minor blues (1b), 1, 2, 4, 1, 2, 2, 3, 2, 1, 2, 0, 2, 2, 2, 1, 2, 1, 1, 1, 2, 4, 1, 2, 2, 3, 2, 1, 2, 1, 0, 52
E minor blues (1#), 0, 1, 3, 0, 1, 1, 2, 3, 0, 3, 0, 1, 4, 1, 1, 1, 2, 2, 0, 1, 3, 0, 1, 1, 2, 3, 1, 1, 2, 0, 41
