 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 4, 1, 2, 2, 0, 0, 24
A minor (0), 1, 3, 1, 1, 0, 3, 1, 2, 1, 4, 1, 3, 0, 2, 3, 1, 1, 28
A minor mel (0), 1, 4, 1, 2, 1, 4, 1, 3, 1, 4, 0, 2, 0, 2, 3, 1, 1, 31
C major blues (0), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 2, 4, 1, 2, 2, 0, 0, 29
A minor blues (0), 0, 3, 1, 3, 1, 4, 2, 2, 1, 5, 2, 4, 1, 3, 4, 0, 0, 36
C dorian (0), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 27
C phrygian (0), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 0, 0, 17
C lydian (0), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 27
C mixolydian (0), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 0, 0, 17
C aeolian (0), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 4, 1, 2, 2, 0, 0, 24
C locrian (0), 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 3, 1, 1, 1, 0, 0, 12
F major (1b), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 0, 16
G major (1#), 0, 2, 1, 2, 1, 3, 2, 2, 1, 5, 1, 3, 1, 2, 2, 0, 0, 28
D minor (1b), 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 2, 3, 1, 2, 3, 0, 0, 24
E minor (1#), 0, 2, 1, 3, 1, 3, 2, 1, 0, 4, 1, 3, 1, 3, 4, 0, 0, 29
D minor mel (1b), 0, 2, 2, 2, 0, 3, 2, 1, 1, 4, 2, 4, 1, 3, 4, 0, 0, 31
E minor mel (1#), 0, 3, 2, 3, 1, 4, 2, 1, 0, 3, 1, 3, 1, 3, 4, 0, 0, 31
F major blues (1b), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 3, 1, 2, 2, 0, 0, 23
G major blues (1#), 0, 3, 2, 2, 1, 4, 2, 2, 1, 5, 2, 4, 1, 2, 2, 0, 0, 33
D minor blues (1b), 0, 1, 1, 2, 0, 2, 2, 1, 1, 5, 2, 4, 1, 3, 4, 0, 0, 29
E minor blues (1#), 0, 4, 2, 3, 1, 5, 2, 2, 1, 5, 2, 4, 1, 3, 4, 0, 0, 39
F dorian (1b), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 3, 1, 2, 2, 0, 0, 23
G dorian (1#), 0, 3, 2, 2, 1, 4, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 30
F phrygian (1b), 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 0, 11
G phrygian (1#), 0, 1, 1, 1, 0, 2, 2, 1, 1, 5, 2, 4, 1, 2, 2, 0, 0, 25
F lydian (1b), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 3, 1, 2, 2, 0, 0, 23
G lydian (1#), 0, 3, 2, 2, 1, 4, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 30
F mixolydian (1b), 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 0, 11
G mixolydian (1#), 0, 1, 1, 1, 0, 2, 2, 1, 1, 5, 2, 4, 1, 2, 2, 0, 0, 25
F aeolian (1b), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 0, 16
G aeolian (1#), 0, 2, 1, 2, 1, 3, 2, 2, 1, 5, 1, 3, 1, 2, 2, 0, 0, 28
F locrian (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 3
G locrian (1#), 0, 1, 0, 1, 0, 1, 1, 1, 1, 4, 2, 3, 1, 1, 1, 0, 0, 18
Bb major (2b), 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 0, 11
D major (2#), 0, 3, 2, 3, 1, 4, 2, 2, 1, 4, 1, 3, 1, 3, 4, 0, 0, 34
G minor (2b), 0, 1, 0, 2, 1, 1, 1, 1, 0, 3, 1, 2, 1, 1, 1, 0, 0, 16
B minor (2#), 0, 4, 1, 3, 1, 4, 1, 2, 1, 3, 1, 2, 1, 2, 3, 0, 0, 29
G minor mel (2b), 0, 2, 0, 2, 1, 2, 1, 2, 1, 4, 1, 2, 1, 1, 1, 0, 0, 21
B minor mel (2#), 1, 5, 1, 2, 1, 4, 0, 3, 1, 2, 0, 1, 0, 1, 2, 1, 1, 26
Bb major blues (2b), 0, 2, 0, 1, 0, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 0, 18
D major blues (2#), 1, 4, 2, 3, 1, 4, 2, 3, 1, 5, 2, 4, 1, 3, 4, 1, 1, 42
G minor blues (2b), 0, 2, 0, 1, 0, 2, 1, 1, 1, 4, 2, 3, 1, 1, 1, 0, 0, 20
B minor blues (2#), 1, 5, 2, 3, 1, 5, 2, 3, 1, 5, 2, 4, 1, 3, 4, 1, 1, 44
Bb dorian (2b), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 0, 16
D dorian (2#), 1, 4, 2, 2, 1, 4, 1, 3, 1, 3, 0, 2, 0, 2, 3, 1, 1, 31
Bb phrygian (2b), 1, 3, 1, 1, 0, 3, 1, 2, 1, 4, 1, 3, 0, 2, 3, 1, 1, 28
D phrygian (2#), 1, 4, 1, 2, 1, 4, 1, 3, 1, 4, 0, 2, 0, 2, 3, 1, 1, 31
Bb lydian (2b), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 2, 4, 1, 2, 2, 0, 0, 29
D lydian (2#), 0, 3, 1, 3, 1, 4, 2, 2, 1, 5, 2, 4, 1, 3, 4, 0, 0, 36
Bb mixolydian (2b), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 27
D mixolydian (2#), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 0, 0, 17
Bb aeolian (2b), 0, 2, 1, 2, 1, 3, 2, 2, 1, 4, 1, 3, 1, 2, 2, 0, 0, 27
D aeolian (2#), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 3, 1, 1, 1, 0, 0, 17
Bb locrian (2b), 0, 1, 1, 1, 0, 2, 2, 1, 1, 4, 2, 4, 1, 2, 2, 0, 0, 24
D locrian (2#), 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 3, 1, 1, 1, 0, 0, 12
Eb major (3b), 0, 1, 0, 1, 0, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 0, 0, 16
A major (3#), 0, 2, 1, 2, 1, 3, 2, 2, 1, 5, 1, 3, 1, 2, 2, 0, 0, 28
C minor (3b), 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 2, 3, 1, 2, 3, 0, 0, 24
F# minor (3#), 0, 2, 1, 3, 1, 3, 2, 1, 0, 4, 1, 3, 1, 3, 4, 0, 0, 29
C minor mel (3b), 0, 0, 1, 1, 0, 1, 2, 0, 0, 3, 2, 4, 1, 2, 2, 0, 0, 19
F# minor mel (3#), 1, 3, 2, 1, 0, 3, 1, 1, 0, 2, 0, 1, 0, 2, 3, 1, 1, 22
