 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, rowcost
C major (0), 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 16/1
A minor (0), 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 16/3
F major (1b), 3/1, 1/0, 3/1, 0/0, 1/1, 1/1, 1/1, 0/0, 0/0, 1/0, 1/2, 2/2, 0/0, 1/0, 1/2, 2/1, 0/0, 3/1, 1/0, 3/1, 0/0, 1/1, 1/1, 1/1, 0/0, 3/1, 1/0, 0/0, 0/0, 32/18
G major (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1
D minor (1b), 2/0, 1/0, 2/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/0, 2/1, 0/0, 1/1, 1/0, 1/0, 0/0, 2/0, 1/0, 2/0, 0/0, 1/0, 1/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 26/3
E minor (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1
Bb major (2b), 3/3, 1/1, 3/3, 0/0, 2/1, 1/1, 2/4, 0/0, 0/0, 2/1, 1/2, 2/2, 0/0, 2/1, 1/2, 2/1, 0/0, 3/3, 1/1, 3/3, 0/0, 2/1, 1/1, 2/4, 0/0, 3/3, 1/1, 0/0, 0/0, 38/39
D major (2#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 6/1
G minor (2b), 2/0, 1/0, 2/0, 0/0, 2/0, 1/0, 2/0, 0/0, 0/0, 2/0, 1/0, 2/1, 0/0, 2/0, 1/0, 1/0, 0/0, 2/0, 1/0, 2/0, 0/0, 2/0, 1/0, 2/0, 0/0, 2/0, 1/0, 0/0, 0/0, 32/1
B minor (2#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 6/4
Eb major (3b), 3/3, 2/4, 3/3, 1/0, 3/2, 2/1, 2/4, 0/0, 0/0, 2/3, 2/2, 3/2, 0/0, 2/3, 2/2, 3/1, 0/0, 3/3, 2/1, 3/3, 1/0, 3/2, 2/1, 2/4, 0/0, 3/3, 2/1, 0/0, 0/0, 51/48
