 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 1, 25
A minor (0), 2, 2, 2, 2, 3, 3, 2, 3, 1, 1, 2, 1, 24
A minor mel (0), 3, 2, 3, 2, 2, 2, 3, 4, 1, 1, 2, 1, 26
C major blues (0), 3, 2, 3, 2, 3, 3, 3, 4, 3, 1, 2, 1, 30
A minor blues (0), 3, 2, 3, 2, 3, 3, 3, 4, 2, 1, 2, 1, 29
C dorian (0), 3, 2, 3, 2, 2, 2, 3, 4, 2, 1, 2, 1, 27
C phrygian (0), 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 15
C lydian (0), 3, 2, 3, 2, 2, 2, 3, 4, 2, 1, 2, 1, 27
C mixolydian (0), 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 15
C aeolian (0), 2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 1, 25
C locrian (0), 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 0, 12
F major (1b), 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 15
G major (1#), 3, 2, 3, 2, 2, 2, 3, 4, 1, 1, 2, 1, 26
D minor (1b), 0, 0, 0, 0, 3, 3, 0, 1, 0, 2, 0, 0, 9
E minor (1#), 3, 2, 3, 2, 1, 1, 3, 3, 2, 0, 2, 1, 23
D minor mel (1b), 1, 1, 1, 1, 4, 4, 1, 2, 0, 2, 1, 1, 19
E minor mel (1#), 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 18
F major blues (1b), 2, 2, 2, 2, 3, 3, 2, 3, 3, 1, 2, 1, 26
G major blues (1#), 3, 2, 3, 2, 4, 4, 3, 4, 1, 2, 2, 1, 31
D minor blues (1b), 2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 1, 25
E minor blues (1#), 3, 2, 3, 2, 4, 4, 3, 4, 1, 2, 2, 1, 31
