 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
A minor (0), 3, 0, 3, 0, 4, 2, 3, 0, 3, 3, 1, 1, 3, 2, 3, 0, 31
A minor mel (0), 4, 1, 4, 1, 5, 3, 4, 1, 3, 4, 0, 0, 3, 3, 4, 1, 41
C major blues (0), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 1, 1, 2, 2, 3, 2, 38
A minor blues (0), 3, 2, 3, 2, 4, 3, 3, 2, 4, 3, 1, 1, 4, 2, 3, 2, 42
C dorian (0), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
C phrygian (0), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
C lydian (0), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
C mixolydian (0), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
C aeolian (0), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
C locrian (0), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
F major (1b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
G major (1#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
D minor (1b), 2, 2, 2, 2, 3, 0, 2, 2, 3, 1, 2, 2, 3, 0, 2, 2, 30
E minor (1#), 4, 2, 4, 2, 3, 3, 4, 3, 3, 3, 0, 0, 3, 2, 4, 2, 42
D minor mel (1b), 3, 2, 3, 2, 4, 1, 3, 2, 3, 1, 2, 2, 3, 0, 3, 2, 36
E minor mel (1#), 5, 3, 5, 3, 4, 2, 5, 4, 3, 2, 1, 1, 3, 1, 5, 3, 50
F major blues (1b), 2, 1, 2, 1, 3, 2, 2, 1, 3, 2, 1, 1, 3, 1, 2, 1, 28
G major blues (1#), 4, 3, 4, 3, 5, 3, 4, 3, 2, 3, 2, 2, 2, 2, 4, 3, 49
D minor blues (1b), 2, 1, 2, 1, 3, 2, 2, 1, 4, 2, 1, 1, 4, 1, 2, 1, 30
E minor blues (1#), 4, 3, 4, 3, 5, 3, 4, 3, 4, 3, 2, 2, 4, 2, 4, 3, 53
F dorian (1b), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
G dorian (1#), 4, 3, 4, 3, 5, 2, 4, 3, 2, 2, 1, 1, 2, 1, 4, 3, 44
F phrygian (1b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
G phrygian (1#), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
F lydian (1b), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
G lydian (1#), 4, 3, 4, 3, 5, 2, 4, 3, 2, 2, 1, 1, 2, 1, 4, 3, 44
F mixolydian (1b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
G mixolydian (1#), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
F aeolian (1b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
G aeolian (1#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
F locrian (1b), 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 0, 11
G locrian (1#), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
Bb major (2b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
D major (2#), 4, 3, 4, 3, 5, 2, 4, 3, 3, 2, 1, 1, 3, 1, 4, 3, 46
G minor (2b), 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 0, 0, 1, 2, 2, 2, 27
B minor (2#), 3, 3, 3, 3, 4, 1, 3, 3, 5, 1, 1, 1, 5, 1, 3, 3, 43
G minor mel (2b), 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 0, 0, 2, 2, 2, 2, 30
B minor mel (2#), 4, 2, 4, 2, 5, 1, 4, 2, 4, 2, 1, 1, 4, 2, 4, 2, 44
Bb major blues (2b), 2, 1, 2, 1, 2, 1, 2, 2, 4, 2, 1, 1, 4, 1, 2, 1, 29
D major blues (2#), 5, 3, 5, 3, 6, 3, 5, 3, 3, 4, 2, 2, 3, 3, 5, 3, 58
G minor blues (2b), 2, 1, 2, 1, 2, 1, 2, 2, 4, 2, 1, 1, 4, 1, 2, 1, 29
B minor blues (2#), 5, 3, 5, 3, 6, 3, 5, 3, 4, 4, 2, 2, 4, 3, 5, 3, 60
Bb dorian (2b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
D dorian (2#), 5, 2, 5, 2, 6, 2, 5, 2, 2, 3, 1, 1, 2, 2, 5, 2, 47
Bb phrygian (2b), 3, 0, 3, 0, 4, 2, 3, 0, 3, 3, 1, 1, 3, 2, 3, 0, 31
D phrygian (2#), 4, 1, 4, 1, 5, 3, 4, 1, 3, 4, 0, 0, 3, 3, 4, 1, 41
Bb lydian (2b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 1, 1, 2, 2, 3, 2, 38
D lydian (2#), 3, 2, 3, 2, 4, 3, 3, 2, 4, 3, 1, 1, 4, 2, 3, 2, 42
Bb mixolydian (2b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
D mixolydian (2#), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
Bb aeolian (2b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
D aeolian (2#), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
Bb locrian (2b), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
D locrian (2#), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
Eb major (3b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
A major (3#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
C minor (3b), 2, 2, 2, 2, 3, 0, 2, 2, 3, 1, 2, 2, 3, 0, 2, 2, 30
F# minor (3#), 4, 2, 4, 2, 3, 3, 4, 3, 3, 3, 0, 0, 3, 2, 4, 2, 42
C minor mel (3b), 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 23
F# minor mel (3#), 5, 1, 5, 1, 3, 1, 5, 2, 2, 1, 1, 1, 2, 1, 5, 1, 37
Eb major blues (3b), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
A major blues (3#), 3, 0, 3, 0, 4, 2, 3, 0, 3, 3, 1, 1, 3, 2, 3, 0, 31
C minor blues (3b), 4, 1, 4, 1, 5, 3, 4, 1, 3, 4, 0, 0, 3, 3, 4, 1, 41
F# minor blues (3#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 1, 1, 2, 2, 3, 2, 38
Eb dorian (3b), 3, 2, 3, 2, 4, 3, 3, 2, 4, 3, 1, 1, 4, 2, 3, 2, 42
A dorian (3#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
Eb phrygian (3b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
A phrygian (3#), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
Eb lydian (3b), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
A lydian (3#), 2, 1, 2, 1, 3, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 26
Eb mixolydian (3b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 17
A mixolydian (3#), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
Eb aeolian (3b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
A aeolian (3#), 2, 2, 2, 2, 3, 0, 2, 2, 3, 1, 2, 2, 3, 0, 2, 2, 30
Eb locrian (3b), 3, 0, 3, 0, 4, 2, 3, 0, 3, 3, 1, 1, 3, 2, 3, 0, 31
A locrian (3#), 4, 1, 4, 1, 5, 3, 4, 1, 3, 4, 0, 0, 3, 3, 4, 1, 41
Ab major (4b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 1, 1, 2, 2, 3, 2, 38
E major (4#), 3, 2, 3, 2, 4, 3, 3, 2, 4, 3, 1, 1, 4, 2, 3, 2, 42
F minor (4b), 3, 2, 3, 2, 4, 3, 3, 2, 2, 3, 0, 0, 2, 2, 3, 2, 36
C# minor (4#), 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 20
