 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 1/0, 1/1, 1/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 0/0, 0/0, 2/2, 1/0, 1/0, 1/0, 1/0, 15/4
A minor (0), 1/0, 1/1, 1/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/0, 1/1, 1/1, 1/0, 15/4
F major (1b), 1/1, 2/1, 0/0, 1/0, 0/0, 2/1, 1/1, 0/0, 0/0, 1/0, 0/0, 2/1, 1/1, 0/0, 0/0, 1/3, 12/9
G major (1#), 0/0, 1/1, 1/0, 0/0, 1/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 1/2, 0/0, 1/1, 1/1, 0/0, 10/5
D minor (1b), 1/0, 2/1, 0/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 0/0, 2/2, 1/0, 0/0, 0/0, 1/0, 12/3
E minor (1#), 0/0, 1/1, 1/1, 0/0, 1/1, 1/1, 0/0, 2/1, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 10/6
Bb major (2b), 1/1, 1/1, 0/0, 1/1, 0/0, 1/1, 1/1, 0/0, 0/0, 1/1, 0/0, 1/1, 1/1, 0/0, 0/0, 1/3, 9/11
D major (2#), 0/0, 1/1, 1/1, 0/0, 1/0, 1/1, 0/0, 2/0, 1/0, 0/0, 0/0, 1/2, 0/0, 1/0, 1/0, 0/0, 10/5
G minor (2b), 1/0, 2/1, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 10/1
B minor (2#), 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 10/1
Eb major (3b), 1/0, 1/1, 0/0, 2/2, 0/0, 1/1, 1/0, 0/0, 0/0, 2/1, 0/0, 1/1, 1/1, 0/0, 0/0, 1/3, 11/10
A major (3#), 0/0, 2/1, 1/0, 0/0, 1/0, 2/1, 0/0, 3/0, 1/0, 0/0, 0/0, 1/0, 0/0, 2/1, 1/1, 0/0, 14/4
C minor (3b), 1/0, 2/1, 0/0, 2/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 12/1
F# minor (3#), 0/0, 2/0, 1/0, 0/0, 1/0, 2/1, 0/0, 3/1, 1/0, 0/0, 0/0, 1/0, 0/0, 2/2, 1/0, 0/0, 14/4
Ab major (4b), 2/0, 1/0, 0/0, 3/4, 1/0, 1/1, 1/0, 0/0, 0/0, 4/3, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 17/8
E major (4#), 1/0, 2/1, 1/0, 0/0, 2/0, 1/0, 0/0, 3/1, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/0, 0/0, 16/2
F minor (4b), 2/1, 2/1, 0/0, 2/0, 1/0, 1/1, 1/0, 0/0, 0/0, 3/1, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 16/4
C# minor (4#), 1/0, 3/2, 1/0, 0/0, 2/0, 3/2, 0/0, 4/1, 1/0, 1/0, 1/0, 0/0, 0/0, 3/0, 1/0, 0/0, 21/5
Db major (5b), 2/2, 2/0, 0/0, 3/5, 2/2, 2/1, 0/0, 1/0, 0/0, 5/5, 2/2, 0/0, 0/0, 1/0, 0/0, 0/0, 20/17
B major (5#), 1/0, 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 2/1, 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 11/2
Bb minor (5b), 1/0, 2/1, 0/0, 2/2, 1/0, 2/1, 0/0, 1/0, 0/0, 3/1, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 14/5
G# minor (5#), 2/0, 2/0, 0/0, 1/0, 2/2, 3/2, 0/0, 3/1, 0/0, 3/2, 2/2, 0/0, 0/0, 2/0, 0/0, 0/0, 20/9
Gb major (6b), 2/2, 2/2, 0/0, 2/4, 2/2, 2/3, 0/0, 2/2, 0/0, 4/4, 2/2, 0/0, 0/0, 2/4, 0/0, 0/0, 20/25
F# major (6#), 1/0, 1/1, 0/0, 1/0, 1/0, 1/1, 0/0, 1/1, 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 10/3
Eb minor (6b), 1/0, 1/0, 0/0, 1/2, 1/0, 2/1, 0/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 11/4
D# minor (6#), 2/0, 2/0, 0/0, 2/4, 2/0, 3/1, 0/0, 2/1, 0/0, 4/4, 2/2, 0/0, 0/0, 2/0, 0/0, 0/0, 21/12
Cb major (7b), 2/2, 2/2, 0/0, 2/4, 2/2, 2/3, 0/0, 3/2, 0/0, 4/4, 2/2, 0/0, 0/0, 2/4, 0/0, 0/0, 21/25
C# major (7#), 1/0, 3/2, 0/0, 2/0, 1/1, 3/2, 0/0, 2/2, 0/0, 3/0, 1/0, 0/0, 0/0, 2/0, 0/0, 0/0, 18/7
