 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 15
A minor (0), 1, 2, 1, 0, 1, 3, 1, 2, 1, 0, 0, 2, 1, 2, 1, 1, 19
F major (1b), 1, 2, 0, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 12
G major (1#), 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 0, 10
D minor (1b), 1, 2, 0, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 12
E minor (1#), 1, 1, 1, 0, 2, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 12
Bb major (2b), 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 9
D major (2#), 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 0, 10
G minor (2b), 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 5
B minor (2#), 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 5
Eb major (3b), 1, 1, 0, 2, 0, 1, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 11
A major (3#), 0, 2, 1, 0, 1, 2, 0, 3, 1, 0, 0, 1, 0, 2, 1, 0, 14
C minor (3b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 15
F# minor (3#), 0, 2, 1, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 2, 1, 0, 13
Ab major (4b), 2, 1, 0, 3, 1, 1, 1, 0, 0, 4, 1, 1, 1, 0, 0, 1, 17
E major (4#), 1, 2, 1, 0, 2, 1, 0, 3, 1, 1, 1, 0, 0, 2, 1, 0, 16
F minor (4b), 2, 2, 0, 2, 1, 2, 1, 0, 0, 3, 1, 2, 1, 0, 0, 1, 18
C# minor (4#), 1, 4, 1, 1, 2, 3, 0, 4, 1, 2, 1, 0, 0, 3, 1, 0, 24
Db major (5b), 2, 2, 0, 3, 2, 2, 0, 1, 0, 5, 2, 0, 0, 1, 0, 0, 20
B major (5#), 1, 1, 0, 1, 1, 1, 0, 2, 0, 2, 1, 0, 0, 1, 0, 0, 11
Bb minor (5b), 1, 2, 0, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 12
G# minor (5#), 3, 0, 0, 1, 2, 1, 1, 1, 0, 3, 2, 1, 1, 0, 0, 1, 17
Gb major (6b), 2, 2, 0, 2, 2, 2, 0, 2, 0, 4, 2, 0, 0, 2, 0, 0, 20
F# major (6#), 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 0, 0, 1, 0, 0, 10
Eb minor (6b), 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 7
D# minor (6#), 0, 2, 0, 2, 0, 3, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 13
Cb major (7b), 2, 2, 0, 2, 2, 2, 0, 3, 0, 4, 2, 0, 0, 2, 0, 0, 21
C# major (7#), 1, 3, 0, 2, 1, 3, 0, 2, 0, 3, 1, 0, 0, 2, 0, 0, 18
Ab minor (7b), 2, 0, 0, 2, 1, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 1, 15
A# minor (7#), 2, 3, 0, 1, 2, 3, 0, 2, 0, 3, 2, 0, 0, 2, 0, 0, 20
