 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, rowcost
C major (0), 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 13
A minor (0), 1, 1, 1, 1, 1, 2, 0, 2, 0, 0, 1, 1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 25
F major (1b), 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
G major (1#), 0, 0, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 16
D minor (1b), 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 25
E minor (1#), 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 4, 0, 0, 1, 0, 1, 2, 2, 4, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 31
Bb major (2b), 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 7
D major (2#), 1, 1, 1, 1, 2, 3, 0, 3, 0, 0, 1, 1, 2, 3, 1, 0, 0, 1, 1, 1, 2, 3, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 31
G minor (2b), 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 10
B minor (2#), 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 3, 2, 1, 0, 2, 1, 1, 1, 3, 2, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 33
Eb major (3b), 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 12
A major (3#), 2, 2, 2, 2, 3, 3, 0, 2, 0, 0, 2, 2, 2, 5, 2, 0, 0, 1, 0, 1, 2, 5, 2, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 43
C minor (3b), 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 1, 15
F# minor (3#), 2, 2, 2, 2, 2, 2, 1, 2, 0, 0, 2, 2, 2, 5, 2, 0, 0, 1, 0, 0, 2, 5, 2, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 41
Ab major (4b), 1, 1, 1, 1, 0, 0, 4, 0, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 34
E major (4#), 3, 3, 3, 3, 3, 2, 1, 1, 0, 1, 3, 3, 3, 6, 2, 0, 1, 1, 0, 2, 3, 6, 2, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 56
F minor (4b), 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 30
C# minor (4#), 3, 3, 3, 3, 3, 2, 1, 1, 0, 1, 3, 3, 2, 6, 2, 0, 2, 0, 1, 2, 2, 6, 2, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 57
Db major (5b), 3, 3, 3, 3, 1, 0, 5, 0, 2, 2, 3, 3, 2, 6, 3, 2, 3, 2, 1, 2, 2, 6, 3, 2, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 67
B major (5#), 3, 3, 3, 3, 3, 1, 2, 0, 1, 1, 3, 3, 2, 5, 3, 1, 1, 2, 0, 2, 2, 5, 3, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 56
Bb minor (5b), 2, 2, 2, 2, 1, 0, 2, 1, 0, 1, 2, 2, 1, 2, 1, 0, 2, 0, 2, 1, 1, 2, 1, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 34
G# minor (5#), 3, 3, 3, 3, 2, 1, 3, 0, 1, 2, 3, 3, 3, 3, 2, 1, 2, 2, 0, 3, 3, 3, 2, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 55
Gb major (6b), 5, 5, 5, 5, 3, 0, 5, 0, 2, 2, 5, 5, 3, 8, 5, 2, 2, 3, 0, 2, 3, 8, 5, 2, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 5, 0, 90
F# major (6#), 3, 3, 3, 3, 2, 0, 3, 0, 1, 1, 3, 3, 2, 5, 3, 1, 1, 2, 0, 1, 2, 5, 3, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 54
Eb minor (6b), 2, 2, 2, 2, 2, 0, 2, 0, 1, 0, 2, 2, 1, 2, 3, 1, 0, 2, 0, 0, 1, 2, 3, 1, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 35
D# minor (6#), 3, 3, 3, 3, 3, 0, 3, 0, 2, 0, 3, 3, 1, 3, 5, 2, 0, 3, 0, 0, 1, 3, 5, 2, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 54
Cb major (7b), 6, 6, 6, 6, 5, 1, 4, 0, 2, 2, 6, 6, 4, 9, 6, 2, 2, 4, 0, 3, 4, 9, 6, 2, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 6, 0, 107
C# major (7#), 3, 3, 3, 3, 2, 0, 3, 0, 1, 1, 3, 3, 1, 5, 3, 1, 2, 1, 1, 1, 1, 5, 3, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 55
Ab minor (7b), 2, 2, 2, 2, 2, 1, 3, 0, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 0, 2, 2, 2, 3, 2, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 47
