 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 3/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 1/2, 2/3, 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 1/0, 13/8
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 3/3, 0/0, 0/0, 0/0, 0/0, 1/2, 3/3, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/2, 3/3, 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 1/0, 15/14
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 2/2, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 10/2
G major (1#), 0/0, 0/0, 0/0, 0/0, 1/0, 3/0, 0/0, 3/1, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/0, 1/2, 2/0, 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 1/0, 16/5
D minor (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 2/0, 0/0, 0/2, 1/0, 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 10/4
E minor (1#), 0/0, 0/0, 0/0, 0/0, 1/0, 3/3, 0/0, 3/0, 0/0, 0/0, 0/0, 0/0, 1/2, 3/3, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/2, 3/3, 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 1/1, 18/14
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/4, 1/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 7/8
D major (2#), 1/0, 1/0, 1/0, 1/0, 2/0, 3/1, 0/0, 3/3, 0/0, 0/0, 1/0, 1/0, 2/2, 3/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 2/2, 3/0, 1/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 31/8
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 7/0
B minor (2#), 1/1, 1/1, 1/1, 1/1, 2/1, 3/1, 0/0, 3/0, 0/0, 0/0, 1/1, 1/1, 2/2, 4/2, 1/0, 0/0, 0/0, 1/0, 1/0, 1/1, 2/2, 4/4, 1/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 33/19
