 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 9
A minor (0), 2, 0, 2, 0, 2, 0, 2, 0, 3, 1, 2, 0, 2, 0, 0, 16
A minor mel (0), 2, 0, 2, 0, 3, 1, 3, 0, 3, 1, 2, 0, 2, 0, 0, 19
C major blues (0), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
A minor blues (0), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
C dorian (0), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
C phrygian (0), 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2
C lydian (0), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
C mixolydian (0), 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2
C aeolian (0), 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 9
C locrian (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
F major (1b), 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2
G major (1#), 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 1, 0, 0, 12
D minor (1b), 1, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 1, 1, 1, 15
E minor (1#), 2, 0, 2, 0, 1, 1, 3, 0, 1, 1, 2, 0, 2, 0, 0, 15
D minor mel (1b), 2, 1, 2, 1, 2, 0, 2, 1, 3, 1, 2, 1, 2, 1, 1, 22
E minor mel (1#), 3, 1, 3, 1, 2, 1, 4, 1, 2, 1, 3, 1, 3, 1, 1, 28
F major blues (1b), 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 9
G major blues (1#), 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1, 25
D minor blues (1b), 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 9
E minor blues (1#), 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1, 25
