 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 4/2
A minor (0), 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 4/4
F major (1b), 0/0, 1/0, 1/0, 2/1, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 2/1, 0/0, 0/0, 0/0, 18/4
G major (1#), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 9/2
D minor (1b), 0/0, 1/0, 1/0, 2/1, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 1/3, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 2/0, 0/0, 0/0, 0/0, 18/6
E minor (1#), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 9/2
Bb major (2b), 0/0, 3/1, 2/1, 5/3, 3/2, 2/2, 1/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 2/2, 1/0, 3/2, 2/1, 0/0, 0/0, 3/1, 2/1, 5/3, 3/2, 2/2, 0/0, 0/0, 0/0, 40/25
D major (2#), 0/0, 1/0, 2/2, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/2, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 24/7
G minor (2b), 0/0, 2/0, 1/2, 2/1, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/2, 2/1, 1/0, 2/0, 0/0, 0/0, 0/0, 23/7
B minor (2#), 0/0, 1/0, 2/2, 2/1, 1/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/2, 1/1, 1/0, 1/1, 1/0, 2/2, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 24/11
Eb major (3b), 0/0, 3/3, 2/1, 4/2, 4/3, 3/3, 1/1, 0/0, 0/0, 1/0, 1/0, 2/2, 0/0, 3/3, 1/1, 3/2, 3/2, 0/0, 0/0, 3/3, 2/1, 4/2, 4/3, 3/3, 0/0, 0/0, 0/0, 47/35
A major (3#), 1/0, 1/1, 2/0, 3/1, 1/0, 2/0, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 2/1, 2/3, 1/0, 2/0, 1/0, 2/0, 3/1, 1/0, 2/0, 1/0, 1/0, 1/0, 35/7
C minor (3b), 0/0, 2/0, 1/0, 1/0, 2/0, 3/1, 1/0, 0/0, 0/0, 1/0, 1/0, 2/0, 0/0, 3/0, 1/0, 1/0, 2/0, 0/0, 0/0, 2/0, 1/0, 1/0, 2/0, 3/1, 0/0, 0/0, 0/0, 30/2
F# minor (3#), 1/0, 1/1, 2/1, 5/3, 2/1, 3/1, 1/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 5/2, 2/1, 1/1, 2/2, 1/1, 2/3, 5/3, 2/1, 3/1, 1/0, 1/1, 1/1, 46/25
Ab major (4b), 0/0, 3/3, 2/1, 4/2, 5/4, 4/4, 2/1, 0/0, 0/0, 2/2, 2/2, 3/6, 0/0, 4/7, 1/1, 3/2, 4/3, 1/0, 0/0, 3/3, 2/1, 4/2, 5/4, 4/4, 1/0, 0/0, 0/0, 59/52
E major (4#), 1/0, 1/0, 2/2, 3/1, 1/0, 2/0, 2/0, 1/0, 2/1, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 2/0, 2/0, 2/0, 2/1, 1/0, 2/2, 3/1, 1/0, 2/0, 2/0, 1/0, 1/0, 38/9
F minor (4b), 0/0, 2/1, 1/0, 1/0, 2/1, 3/2, 2/0, 0/0, 0/0, 1/0, 1/0, 2/2, 0/0, 3/0, 1/0, 1/2, 2/1, 1/0, 0/0, 2/1, 1/1, 1/2, 2/2, 3/2, 1/0, 0/0, 0/0, 33/17
C# minor (4#), 2/0, 1/1, 2/1, 5/5, 2/1, 5/3, 3/2, 1/0, 3/2, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 6/4, 3/7, 2/1, 3/3, 1/1, 2/3, 5/5, 2/1, 5/3, 3/4, 1/0, 1/0, 60/47
Db major (5b), 1/0, 3/3, 2/1, 5/2, 5/4, 5/4, 4/3, 0/0, 1/0, 2/2, 2/2, 3/6, 0/0, 4/7, 1/1, 4/2, 5/3, 2/2, 1/0, 3/3, 2/1, 5/2, 5/4, 5/4, 3/2, 0/0, 0/0, 73/58
B major (5#), 1/0, 1/1, 2/2, 3/1, 2/0, 3/0, 2/0, 1/0, 2/1, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 2/0, 3/0, 2/1, 2/1, 1/1, 2/2, 3/1, 2/0, 3/0, 2/0, 1/0, 1/0, 47/12
Bb minor (5b), 1/0, 3/1, 2/1, 5/2, 4/2, 4/2, 3/0, 0/0, 1/0, 1/0, 1/0, 2/2, 0/0, 3/2, 1/0, 4/2, 4/1, 1/0, 1/0, 3/1, 2/1, 5/2, 4/2, 4/2, 2/0, 0/0, 0/0, 61/23
G# minor (5#), 2/0, 1/1, 2/1, 5/2, 3/1, 6/3, 4/4, 1/0, 3/2, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 6/4, 4/7, 3/3, 3/3, 1/1, 2/1, 5/4, 3/1, 6/3, 4/6, 1/0, 1/0, 72/47
Gb major (6b), 2/2, 2/3, 1/1, 6/4, 4/4, 6/6, 5/5, 0/0, 2/2, 2/2, 2/2, 2/4, 0/0, 3/5, 1/0, 6/4, 5/9, 3/2, 2/2, 2/3, 1/1, 6/4, 4/4, 6/6, 4/6, 1/0, 1/0, 79/81
F# major (6#), 1/0, 2/1, 1/1, 5/3, 3/1, 4/2, 3/0, 0/0, 1/1, 1/0, 1/0, 1/0, 0/0, 2/0, 1/0, 5/2, 3/4, 2/1, 1/1, 2/1, 1/1, 5/3, 3/1, 4/1, 2/0, 1/0, 1/0, 56/24
Eb minor (6b), 1/0, 2/3, 1/1, 4/2, 3/3, 5/3, 3/1, 0/0, 1/0, 1/0, 1/0, 1/2, 0/0, 2/3, 1/1, 5/2, 3/2, 2/0, 1/0, 2/3, 1/1, 4/2, 3/3, 5/3, 2/0, 1/0, 1/0, 56/35
D# minor (6#), 2/0, 2/1, 1/1, 5/2, 4/3, 7/5, 5/4, 0/0, 2/2, 2/2, 2/2, 2/4, 0/0, 3/5, 1/0, 6/4, 5/9, 3/3, 2/3, 2/1, 1/3, 5/5, 4/3, 7/5, 4/6, 1/0, 1/0, 79/73
Cb major (7b), 2/2, 2/2, 3/2, 5/8, 4/6, 6/8, 4/5, 1/0, 3/2, 2/2, 2/2, 3/4, 1/0, 2/4, 0/0, 4/8, 6/11, 4/4, 3/2, 2/5, 3/3, 5/8, 4/6, 6/8, 4/6, 2/2, 2/2, 85/112
C# major (7#), 2/0, 3/1, 2/1, 6/2, 4/1, 5/3, 4/2, 0/0, 2/2, 1/0, 1/0, 2/0, 0/0, 3/0, 1/0, 5/4, 5/7, 1/1, 2/3, 3/1, 2/3, 6/5, 4/1, 5/3, 3/4, 0/0, 0/0, 72/44
Ab minor (7b), 1/0, 1/1, 2/1, 4/2, 4/4, 6/4, 2/1, 1/0, 2/0, 2/2, 2/2, 3/4, 1/0, 2/5, 0/0, 5/2, 4/3, 2/0, 2/0, 1/1, 2/1, 4/2, 4/4, 6/4, 2/0, 1/0, 1/0, 67/43
A# minor (7#), 2/0, 4/5, 2/1, 6/2, 5/3, 6/5, 6/6, 0/0, 2/2, 2/0, 2/0, 3/2, 0/0, 5/6, 2/2, 5/4, 6/9, 2/3, 2/3, 4/5, 2/3, 6/5, 5/3, 6/5, 4/6, 0/0, 0/0, 89/80
