 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
C major (0), 0/0, 5/4, 5/8, 5/6, 4/2, 2/1, 0/0, 0/0, 0/0, 3/3, 0/0, 2/1, 0/0, 0/0,  , 1/1, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/4, 0/0, 0/0, 0/0, 0/0, 1/2, 5/6, 5/5, 6/3, 4/4, 0/0, 58/54
A minor (0), 0/0, 5/4, 4/6, 4/1, 3/1, 2/0, 0/0, 0/0, 0/0, 2/0, 0/0, 2/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/1, 1/3, 4/1, 4/1, 4/1, 4/0, 0/0, 50/21
F major (1b), 0/0, 4/4, 6/8, 6/11, 5/4, 2/2, 0/0, 0/0, 1/0, 3/3, 1/0, 2/2, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/3, 1/0, 1/0, 1/0, 0/0, 2/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/4, 1/0, 1/0, 1/0, 1/0, 2/2, 6/6, 6/8, 7/6, 5/5, 1/0, 77/70
G major (1#), 0/0, 6/4, 4/8, 4/3, 3/1, 1/1, 0/0, 0/0, 0/0, 2/2, 0/0, 1/1, 0/0, 0/0,  , 1/1, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 4/2, 4/2, 5/2, 3/2, 0/0, 48/32
D minor (1b), 0/0, 4/4, 6/6, 6/1, 5/1, 2/0, 0/0, 0/0, 1/0, 2/1, 1/0, 2/0, 0/0, 0/0,  , 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 2/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/4, 1/0, 1/0, 1/0, 1/1, 2/3, 6/5, 6/1, 6/1, 5/1, 1/0, 75/31
E minor (1#), 0/0, 4/4, 3/1, 3/0, 2/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/1, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/4, 0/0, 0/0, 0/0, 0/1, 2/3, 3/5, 3/0, 3/0, 3/0, 0/0, 38/21
Bb major (2b), 0/0, 3/7, 7/11, 5/15, 6/9, 2/2, 1/0, 1/0, 2/2, 3/3, 2/2, 2/2, 1/0, 1/0,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/3, 0/0, 1/1, 1/1, 0/0, 2/0, 0/0, 0/0, 1/2, 1/1, 1/2, 1/1, 1/2, 5/7, 1/2, 1/1, 1/2, 1/1, 3/4, 7/8, 5/11, 8/10, 4/6, 2/1, 85/121
D major (2#), 0/0, 7/7, 3/5, 3/1, 2/1, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0,  , 1/1, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 3/1, 3/2, 3/1, 3/1, 2/1, 0/0, 41/25
G minor (2b), 0/0, 5/7, 7/5, 5/6, 6/2, 2/1, 1/0, 1/0, 2/0, 3/2, 2/0, 2/1, 1/0, 1/0,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 3/0, 1/0, 1/0, 1/0, 1/0, 3/1, 7/2, 5/2, 8/2, 4/2, 2/0, 85/34
B minor (2#), 0/0, 5/5, 2/3, 2/0, 1/1, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/2, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 3/2, 2/2, 2/0, 2/1, 2/0, 0/0, 33/19
Eb major (3b), 1/0, 4/7, 6/6, 4/1, 5/5, 1/0, 1/0, 1/0, 2/0, 2/1, 3/2, 1/0, 1/0, 1/0,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 1/3, 0/0, 1/1, 1/1, 0/0, 1/0, 1/0, 1/0, 2/2, 1/1, 2/2, 1/1, 2/2, 6/11, 2/2, 1/1, 2/2, 2/1, 4/7, 6/10, 4/12, 5/13, 3/6, 3/2, 88/104
A major (3#), 1/0, 8/7, 1/3, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 1/0, 4/2, 1/1, 1/0, 1/0, 1/0, 0/0, 29/17
C minor (3b), 1/0, 6/4, 8/8, 4/6, 7/2, 1/1, 1/0, 1/0, 2/0, 2/3, 3/0, 1/1, 1/0, 1/0,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 4/4, 2/0, 1/0, 2/0, 2/0, 4/2, 8/6, 4/5, 7/3, 3/4, 3/0, 96/49
F# minor (3#), 1/1, 7/5, 1/3, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 1/1, 5/5, 1/1, 1/1, 1/1, 1/0, 0/0, 30/22
