 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0/0, 1/0, 1/0, 1/0, 0/0, 2/1, 2/0, 1/0, 1/0, 4/1, 2/1, 4/1, 1/0, 2/0, 2/0, 0/0, 0/0, 24/4
A minor (0), 0/0, 2/1, 1/0, 2/1, 0/0, 3/1, 2/1, 1/1, 1/1, 5/3, 2/0, 4/3, 1/0, 3/3, 4/4, 0/0, 0/0, 31/19
F major (1b), 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 3/1, 2/0, 2/1, 1/0, 1/0, 1/0, 0/0, 0/0, 16/3
G major (1#), 0/0, 2/1, 1/0, 2/1, 1/0, 3/1, 2/0, 2/0, 1/0, 5/2, 1/1, 3/3, 1/0, 2/1, 2/2, 0/0, 0/0, 28/12
D minor (1b), 0/0, 1/1, 0/0, 2/1, 0/0, 1/1, 1/1, 1/0, 1/0, 4/3, 2/2, 3/2, 1/1, 2/1, 3/2, 0/0, 0/0, 22/15
E minor (1#), 0/0, 3/2, 1/1, 3/1, 1/0, 4/3, 2/2, 2/2, 1/1, 5/4, 1/0, 3/2, 1/0, 3/1, 4/1, 0/0, 0/0, 34/20
Bb major (2b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/1, 2/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 11/1
D major (2#), 0/0, 3/2, 2/0, 3/1, 1/0, 4/1, 2/1, 2/1, 1/0, 4/3, 1/0, 3/3, 1/0, 3/3, 4/4, 0/0, 0/0, 34/19
G minor (2b), 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 3/1, 2/1, 3/1, 1/0, 1/0, 1/0, 0/0, 0/0, 13/4
B minor (2#), 0/0, 4/2, 2/1, 3/2, 1/1, 5/4, 2/0, 2/2, 1/0, 4/1, 1/0, 3/0, 1/0, 3/1, 4/1, 0/0, 0/0, 36/15
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/0
A major (3#), 1/0, 5/1, 2/1, 2/1, 1/0, 5/2, 1/1, 3/1, 1/0, 3/2, 0/0, 2/3, 0/0, 2/3, 3/3, 1/0, 1/0, 33/18
