 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 5/1
G major (1#), 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 11/1
D minor (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 5/1
E minor (1#), 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 11/5
Bb major (2b), 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/0, 1/1, 0/0, 1/1, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 25/4
D major (2#), 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 24/3
G minor (2b), 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 25/3
B minor (2#), 0/0, 1/1, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/1, 0/0, 1/0, 1/0, 25/11
