 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
Db major (5b), 2/2, 3/3, 2/0, 1/0, 4/3, 3/4, 1/0, 0/0, 3/3, 4/3, 2/2, 0/0, 3/5, 5/7, 2/2, 1/0, 2/2, 3/3, 2/0, 1/0, 4/3, 3/4, 1/0, 0/0, 3/3, 2/2, 3/0, 3/2, 2/2, 1/2, 0/0, 0/0, 66/57
B major (5#), 2/1, 2/2, 0/0, 0/0, 2/1, 1/1, 2/1, 1/0, 1/1, 1/1, 2/1, 1/0, 1/2, 2/0, 1/0, 0/0, 2/0, 2/2, 0/0, 0/0, 2/1, 1/1, 2/1, 1/0, 2/1, 2/1, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 39/18
Bb minor (5b), 2/0, 2/1, 2/1, 1/0, 3/0, 4/1, 1/0, 0/0, 3/1, 3/2, 1/0, 0/0, 2/1, 3/1, 1/0, 1/0, 2/0, 2/1, 2/1, 1/0, 3/0, 4/1, 1/0, 0/0, 2/1, 1/0, 3/1, 2/1, 1/0, 1/0, 0/0, 0/0, 54/14
G# minor (5#), 3/1, 3/2, 0/0, 0/0, 3/1, 1/1, 3/1, 1/0, 2/1, 2/1, 3/1, 1/0, 1/2, 3/2, 1/0, 0/0, 3/1, 3/2, 0/0, 0/0, 3/1, 1/1, 3/1, 1/0, 4/1, 3/1, 2/0, 1/0, 2/0, 0/0, 1/0, 1/0, 55/21
Gb major (6b), 4/4, 4/3, 1/0, 1/0, 5/4, 3/4, 2/2, 0/0, 3/3, 3/3, 3/2, 1/0, 2/4, 4/6, 2/2, 0/0, 4/4, 4/3, 1/0, 1/0, 5/4, 3/4, 2/2, 0/0, 4/3, 3/2, 3/2, 2/2, 3/2, 1/2, 1/0, 1/0, 76/67
F# major (6#), 3/1, 3/2, 1/0, 1/0, 3/1, 2/1, 1/1, 0/0, 2/1, 2/1, 2/1, 1/0, 1/2, 2/0, 1/0, 0/0, 3/1, 3/2, 1/0, 1/0, 3/1, 2/1, 1/1, 0/0, 3/1, 2/1, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 52/19
Eb minor (6b), 3/2, 3/1, 1/0, 1/0, 3/2, 2/3, 1/0, 0/0, 2/1, 2/1, 2/0, 1/0, 1/2, 2/2, 1/0, 0/0, 3/2, 3/1, 1/0, 1/0, 3/2, 2/3, 1/0, 0/0, 3/1, 2/0, 2/0, 1/1, 2/0, 1/2, 1/0, 1/0, 52/26
D# minor (6#), 4/1, 4/2, 1/0, 1/0, 5/2, 3/2, 2/1, 0/0, 3/1, 3/1, 3/1, 1/0, 2/1, 4/6, 2/2, 0/0, 4/1, 4/2, 1/0, 1/0, 5/2, 3/2, 2/1, 0/0, 4/1, 3/1, 3/0, 2/2, 3/2, 1/0, 1/0, 1/0, 76/34
Cb major (7b), 4/4, 4/7, 0/0, 0/0, 4/4, 2/2, 3/2, 1/0, 2/2, 2/2, 4/4, 2/2, 2/4, 4/6, 2/2, 0/0, 4/4, 4/7, 0/0, 0/0, 4/4, 2/2, 3/2, 1/0, 4/5, 4/4, 2/2, 2/2, 4/6, 0/0, 2/2, 2/2, 74/83
C# major (7#), 3/1, 2/1, 2/0, 1/0, 4/2, 2/1, 2/2, 0/0, 2/1, 3/1, 1/1, 0/0, 2/2, 3/0, 1/0, 1/0, 3/3, 2/1, 2/0, 1/0, 4/2, 2/1, 2/2, 0/0, 2/2, 1/1, 4/0, 2/0, 1/0, 1/0, 0/0, 0/0, 56/24
Ab minor (7b), 2/1, 2/1, 0/0, 0/0, 3/3, 2/2, 2/0, 1/0, 1/1, 1/1, 2/0, 1/0, 2/4, 3/4, 2/2, 0/0, 2/1, 2/1, 0/0, 0/0, 3/3, 2/2, 2/0, 1/0, 3/1, 2/0, 1/0, 2/2, 3/2, 0/2, 1/0, 1/0, 49/33
A# minor (7#), 4/5, 4/4, 3/4, 2/2, 6/4, 7/6, 2/1, 0/0, 5/2, 5/2, 2/1, 0/0, 3/1, 5/6, 2/2, 1/0, 4/5, 4/4, 3/4, 2/2, 6/4, 7/6, 2/1, 0/0, 3/1, 2/1, 5/2, 3/2, 2/2, 2/4, 0/0, 0/0, 96/78
