 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, rowcost
C major (0), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
A minor (0), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
A minor mel (0), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
C major blues (0), 3, 3,  ,  , 4, 4,  ,  , 3, 3, 20
A minor blues (0), 4, 4,  ,  , 4, 4,  ,  , 4, 4, 24
C dorian (0), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
C phrygian (0), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
C lydian (0), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
C mixolydian (0), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
C aeolian (0), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
C locrian (0), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
F major (1b), 1, 1,  ,  , 2, 2,  ,  , 1, 1, 8
G major (1#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D minor (1b), 1, 1,  ,  , 1, 1,  ,  , 1, 1, 6
E minor (1#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
D minor mel (1b), 1, 2,  ,  , 1, 2,  ,  , 1, 2, 9
E minor mel (1#), 2, 3,  ,  , 1, 2,  ,  , 2, 3, 13
F major blues (1b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
G major blues (1#), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
D minor blues (1b), 2, 3,  ,  , 3, 4,  ,  , 2, 3, 17
E minor blues (1#), 3, 4,  ,  , 3, 4,  ,  , 3, 4, 21
F dorian (1b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
G dorian (1#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
F phrygian (1b), 2, 0,  ,  , 3, 1,  ,  , 2, 0, 8
G phrygian (1#), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
F lydian (1b), 1, 2,  ,  , 2, 3,  ,  , 1, 2, 11
G lydian (1#), 2, 3,  ,  , 2, 3,  ,  , 2, 3, 15
