 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 2/2, 1/0, 2/2, 1/0, 3/1, 2/0, 2/2, 1/3, 2/3, 2/2, 1/0, 1/0, 2/3, 1/1, 2/2, 1/0, 26/21
A minor (0), 2/3, 1/0, 2/3, 1/0, 3/3, 2/0, 2/2, 1/0, 4/3, 2/1, 1/0, 1/0, 4/3, 1/0, 2/2, 1/0, 30/20
F major (1b), 1/2, 1/0, 1/1, 1/0, 2/1, 1/0, 1/1, 1/1, 2/3, 2/2, 1/2, 1/2, 2/2, 1/1, 1/2, 1/0, 20/20
G major (1#), 3/3, 2/1, 3/3, 2/1, 4/4, 3/0, 3/2, 2/3, 2/3, 3/2, 0/0, 0/0, 2/2, 2/0, 3/2, 2/1, 36/27
D minor (1b), 1/2, 1/1, 1/2, 1/1, 2/3, 1/1, 1/2, 1/3, 3/3, 2/1, 1/0, 1/0, 3/2, 1/0, 1/2, 1/1, 22/24
E minor (1#), 3/2, 2/0, 3/2, 2/0, 4/6, 3/1, 3/5, 2/0, 4/3, 3/1, 0/0, 0/0, 4/3, 2/1, 3/3, 2/0, 40/27
Bb major (2b), 1/2, 1/0, 1/0, 1/0, 1/2, 1/0, 1/0, 1/0, 1/2, 2/2, 1/2, 1/2, 1/2, 1/1, 1/2, 1/0, 17/17
D major (2#), 4/4, 3/0, 4/4, 3/0, 5/3, 2/0, 4/2, 3/3, 3/3, 2/1, 1/0, 1/0, 3/3, 1/1, 4/4, 3/0, 46/28
G minor (2b), 1/2, 1/0, 1/2, 1/0, 1/2, 1/1, 1/2, 1/3, 1/2, 2/1, 1/0, 1/0, 1/2, 1/0, 1/2, 1/0, 17/19
B minor (2#), 4/6, 3/1, 4/6, 3/1, 5/2, 2/0, 4/6, 3/1, 4/2, 1/2, 1/1, 1/1, 4/2, 1/1, 4/6, 3/1, 47/39
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 1/2, 1/0, 0/0, 0/0, 2/2, 2/1, 1/0, 1/0, 2/2, 1/1, 0/0, 0/0, 11/8
A major (3#), 5/2, 2/0, 5/2, 2/0, 6/5, 2/0, 5/4, 2/0, 3/3, 3/1, 1/0, 1/0, 3/3, 2/1, 5/4, 2/0, 49/25
C minor (3b), 0/1, 0/0, 0/1, 0/0, 1/2, 1/0, 0/0, 0/0, 2/2, 2/1, 1/2, 1/2, 2/2, 1/1, 0/0, 0/0, 11/14
F# minor (3#), 5/6, 2/1, 5/6, 2/1, 5/2, 2/0, 5/4, 2/1, 3/2, 2/2, 1/0, 1/0, 3/2, 2/2, 5/6, 2/1, 47/36
Ab major (4b), 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 1/0, 3/4, 1/1, 1/0, 1/0, 3/4, 0/0, 1/1, 0/0, 14/13
E major (4#), 6/2, 2/0, 6/2, 2/0, 5/6, 2/1, 6/6, 3/2, 2/2, 3/3, 1/0, 1/0, 2/2, 2/1, 6/5, 2/0, 51/32
F minor (4b), 1/1, 0/0, 1/1, 0/0, 0/1, 0/0, 1/1, 1/0, 3/2, 1/1, 1/0, 1/0, 3/2, 0/0, 1/1, 0/0, 14/10
C# minor (4#), 6/3, 2/0, 6/3, 2/0, 5/2, 2/0, 6/3, 3/1, 3/3, 4/4, 1/0, 1/0, 3/3, 3/4, 6/8, 2/1, 55/35
Db major (5b), 3/2, 0/0, 3/2, 0/0, 1/0, 0/0, 3/2, 2/2, 5/6, 2/1, 0/0, 0/0, 5/8, 1/2, 3/4, 0/0, 28/29
B major (5#), 5/6, 2/1, 5/6, 2/1, 4/2, 1/0, 5/4, 3/2, 3/4, 2/1, 1/0, 1/0, 3/2, 2/1, 5/6, 2/1, 46/37
Bb minor (5b), 2/2, 0/0, 2/2, 0/0, 1/2, 0/0, 2/2, 1/3, 4/2, 2/1, 0/0, 0/0, 4/2, 1/1, 2/2, 0/0, 21/19
G# minor (5#), 6/4, 2/0, 6/4, 2/0, 4/2, 1/0, 6/4, 4/2, 5/4, 4/5, 1/0, 1/0, 5/4, 3/1, 6/4, 2/0, 58/34
Gb major (6b), 6/4, 1/0, 6/4, 1/0, 3/2, 0/0, 6/4, 3/2, 6/8, 2/5, 1/0, 1/0, 6/8, 2/4, 6/4, 1/0, 51/45
F# major (6#), 4/4, 1/0, 4/2, 1/0, 2/1, 0/0, 4/2, 2/1, 3/4, 1/2, 1/0, 1/0, 3/4, 1/2, 4/4, 1/0, 33/26
Eb minor (6b), 3/0, 1/0, 3/0, 1/0, 2/2, 0/0, 3/0, 2/0, 4/2, 2/1, 1/0, 1/0, 4/2, 1/1, 3/0, 1/0, 32/8
D# minor (6#), 5/4, 1/1, 5/4, 1/1, 3/3, 0/0, 5/4, 3/1, 7/6, 3/4, 1/0, 1/0, 7/6, 2/1, 5/4, 1/1, 50/40
Cb major (7b), 8/8, 3/2, 8/8, 3/2, 6/4, 1/0, 8/8, 5/4, 6/8, 3/5, 2/2, 2/2, 6/8, 3/4, 8/8, 3/2, 75/75
C# major (7#), 3/3, 0/0, 3/3, 0/0, 2/2, 0/0, 3/3, 1/1, 4/3, 3/4, 0/0, 0/0, 4/3, 2/4, 3/3, 0/0, 28/29
Ab minor (7b), 4/1, 2/0, 4/1, 2/0, 3/0, 1/0, 4/1, 3/1, 4/4, 3/1, 1/0, 1/0, 4/4, 2/0, 4/1, 2/0, 44/14
A# minor (7#), 4/4, 0/0, 4/4, 0/0, 2/2, 0/0, 4/4, 2/2, 7/8, 3/4, 0/0, 0/0, 7/8, 2/1, 4/4, 0/0, 39/41
