 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C# minor (4#), 3/2, 0/0, 3/2, 1/0, 5/4, 2/2, 4/4, 0/0, 3/1, 2/8, 2/6, 1/0, 4/5, 0/0, 1/1, 1/0, 3/2, 0/0, 3/2, 1/0, 5/4, 2/2, 4/4, 0/0, 3/1, 2/8, 2/6, 0/0, 1/1, 1/0, 3/2, 2/2, 2/2, 66/71
Db major (5b), 5/4, 3/3, 6/5, 0/0, 1/0, 3/2, 3/2, 0/0, 3/2, 1/0, 3/6, 0/0, 3/6, 1/0, 4/4, 2/8, 5/6, 3/3, 6/5, 0/0, 1/0, 3/2, 3/2, 0/0, 3/2, 1/0, 3/6, 1/0, 4/4, 2/8, 5/6, 1/0, 1/0, 80/86
B major (5#), 3/1, 1/0, 3/1, 0/0, 3/2, 2/0, 4/1, 0/0, 3/1, 1/0, 2/0, 0/0, 2/3, 0/0, 2/0, 1/0, 3/0, 1/0, 3/0, 0/0, 3/2, 2/0, 4/1, 0/0, 3/1, 1/0, 2/0, 0/0, 2/0, 1/0, 3/0, 1/0, 1/0, 57/13
Bb minor (5b), 3/0, 2/1, 4/1, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 2/0, 0/0, 2/0, 1/0, 3/2, 1/0, 3/0, 2/1, 4/1, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 2/0, 1/0, 3/2, 1/0, 3/0, 1/0, 1/0, 53/8
G# minor (5#), 5/5, 1/0, 5/4, 0/0, 4/4, 3/2, 5/4, 0/0, 3/3, 2/8, 3/6, 0/0, 3/5, 0/0, 2/1, 2/8, 5/6, 1/0, 5/4, 0/0, 4/4, 3/2, 5/4, 0/0, 3/3, 2/8, 3/6, 0/0, 2/1, 2/8, 5/6, 2/2, 2/2, 82/106
Gb major (6b), 6/6, 2/2, 6/6, 0/0, 3/2, 4/4, 5/4, 0/0, 3/2, 2/8, 4/12, 0/0, 4/8, 0/0, 3/3, 2/8, 6/8, 2/2, 6/6, 0/0, 3/2, 4/4, 5/4, 0/0, 3/2, 2/8, 4/12, 0/0, 3/3, 2/8, 6/8, 2/2, 2/2, 94/136
F# major (6#), 3/1, 1/0, 3/1, 0/0, 2/2, 2/1, 3/2, 0/0, 2/1, 1/0, 2/3, 0/0, 2/4, 0/0, 2/1, 1/0, 3/1, 1/0, 3/1, 0/0, 2/2, 2/1, 3/2, 0/0, 2/1, 1/0, 2/3, 0/0, 2/1, 1/0, 3/1, 1/0, 1/0, 51/29
Eb minor (6b), 3/1, 1/1, 3/1, 0/0, 2/0, 2/0, 3/0, 0/0, 1/0, 1/0, 2/0, 0/0, 2/3, 0/0, 2/2, 1/0, 3/1, 1/1, 3/1, 0/0, 2/0, 2/0, 3/0, 0/0, 1/0, 1/0, 2/0, 0/0, 2/2, 1/0, 3/1, 1/0, 1/0, 49/14
D# minor (6#), 6/6, 2/2, 6/6, 0/0, 3/3, 4/4, 5/5, 0/0, 2/0, 2/0, 4/6, 0/0, 4/6, 0/0, 3/3, 2/8, 6/8, 2/2, 6/6, 0/0, 3/3, 4/4, 5/5, 0/0, 2/0, 2/0, 4/6, 0/0, 3/3, 2/8, 6/8, 2/0, 2/0, 92/102
Cb major (7b), 6/6, 2/3, 6/7, 0/0, 5/4, 4/4, 7/6, 0/0, 4/2, 2/8, 4/12, 0/0, 4/8, 0/1, 4/6, 2/8, 6/8, 2/3, 6/7, 0/0, 5/4, 4/4, 7/6, 0/0, 4/2, 2/8, 4/12, 0/1, 4/6, 2/8, 6/8, 2/2, 2/2, 106/156
C# major (7#), 4/2, 2/0, 5/2, 0/0, 2/3, 3/2, 3/3, 0/0, 2/1, 2/0, 3/3, 0/0, 3/3, 1/0, 3/1, 1/0, 4/2, 2/0, 5/2, 0/0, 2/3, 3/2, 3/3, 0/0, 2/1, 2/0, 3/3, 1/0, 3/1, 1/0, 4/2, 2/0, 2/0, 73/39
Ab minor (7b), 4/2, 2/2, 4/3, 0/0, 3/0, 3/2, 5/2, 0/0, 2/0, 1/0, 3/6, 0/0, 3/6, 0/0, 3/3, 1/0, 4/2, 2/2, 4/3, 0/0, 3/0, 3/2, 5/2, 0/0, 2/0, 1/0, 3/6, 0/0, 3/3, 1/0, 4/2, 1/0, 1/0, 71/48
A# minor (7#), 6/6, 3/2, 7/6, 0/0, 2/2, 4/2, 4/2, 0/0, 2/0, 2/0, 4/6, 0/0, 4/6, 1/0, 4/2, 2/0, 6/8, 3/2, 7/6, 0/0, 2/2, 4/2, 4/2, 0/0, 2/0, 2/0, 4/6, 1/0, 4/2, 2/0, 6/8, 2/0, 2/0, 96/72
