id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,0,0.009
102,102-Beethoven-quatuor16op135,L.v. Beethoven,-5,-5,96,0,0.008
103,103-SaintSaens-elephant,C. Saint Saens,-3,-2,57,0,0.004
104,104-Haendel-concertogrosso4op6,G. F. Haendel,0,0,81,1,0.008
105,105-Schubert-gloria,F. Schubert,2,3,67,0,0.003
106,106-Bach-polonaise,J. S.  Bach,1,1,127,0,0.022
107,107-Wolf-chantEspagnol8,H. Wolf,2,2,85,0,0.009
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.004
109,109-Kuhlau-sonatineop60n1,,-1,0,90,1,0.014
110,110-Haendel-concertogrosso3,,1,1,86,0,0.005
111,111-Mozart-sonateKV570,W. A. Mozart,-2,-2,96,4,0.124
112,112-Haydn-fantasia,,0,0,68,1,0.008
113,113-Gretchaninoff-retour,A. Gretchaninoff,1,1,89,0,0.007
114,114-Clementi-rondoSonateop25,M. Clementi,1,1,85,0,0.008
115,115-Clementi-sonatineop36n1,M. Clementi,0,1,91,0,0.013
117,117-Schumann-trio2,R. Schumann,-5,-5,72,0,0.004
118,118-Greensleeves,,-2,-1,75,0,0.007
119,119-Mendelssohn-romances31op67,,-3,-3,74,1,0.025
120,120-Bach-gavotte,J. S. Bach,1,1,130,0,0.014
121,121-Beethoven-adagioSonate1op2,L. v. Beethoven,-1,-1,51,1,0.012
122,122-pop,,0,1,58,0,0.003
123,123-Mozart-Canzonetta,W. A. Mozart,2,2,60,1,0.005
124,124-Schubert-quatuor13op29,F. Schubert,0,0,82,0,0.008
125,125-Wolf-melodie5,H. Wolf,3,2,66,0,0.005
126,126-Milhaud-suiteProvencale,D. Milhaud,0,3,61,0,0.004
127,127-Lemoine-etude38,H. Lemoine,0,1,93,0,0.009
128,128-Wolf-melodiesItalienne26,H. Wolf,-3,-2,94,4,0.013
129,129-Mozart-sonateKV331,W. A. Mozart,3,3,60,0,0.006
130,130-Haendel-concertogrosso10,G. F. Haendel,-1,-1,85,0,0.019
131,131-negrospiritual,,1,2,73,0,0.009
132,132-Bach-Brandegourgeois4,J. S. Bach,1,1,108,0,0.007
133,133-Mozart-KV282,W. A. Mozart,-3,-2,107,0,0.012
134,134-Purcell-gigue,H. Purcell,0,0,81,0,0.009
135,135-Schumann-concertola,R. Schumann,-1,-1,66,1,0.009
136,136-Schumann-Myrten25op25,R. Schumann,-3,-3,77,0,0.005
138,138-Wolf-melodie1,,3,3,90,1,0.008
140,140-Clementi-sonate3op25,M. Clementi,-2,-1,112,1,0.017
141,141-Puig-Roget,H. Puig-Roget,0,0,67,0,0.007
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.007
143,143-Wolf-melodiesespagnoles1,H. Wolf,-1,-1,91,5,0.010
144,144-Wolf-melodiesespagnoles13,H. Wolf,2,2,67,1,0.004
145,145-Clementi-sonate3op25,M. Clementi,-2,-1,87,1,0.015
146,146-Clementi-sonatine2op35,M. Clementi,1,1,117,0,0.011
147,147-Beethoven-rondosonateop28,L. v. Beethoven,2,2,56,0,0.005
148,148-Mozart-concertofluteKV314,W. A. Mozart,2,2,61,0,0.009
149,149-Wolf-melodiesespagnoles2,H. Wolf,0,0,91,3,0.005
151,151-Mozart-duettinoDonJuanI97,W.A. Mozart,3,3,70,0,0.005
