id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,0,0.013
102,102-Beethoven-quatuor16op135,L.v. Beethoven,-5,-5,96,0,0.009
103,103-SaintSaens-elephant,C. Saint Saens,-3,-2,57,0,0.005
104,104-Haendel-concertogrosso4op6,G. F. Haendel,0,0,81,0,0.011
105,105-Schubert-gloria,F. Schubert,2,3,67,0,0.004
106,106-Bach-polonaise,J. S.  Bach,1,1,127,0,0.027
107,107-Wolf-chantEspagnol8,H. Wolf,2,2,85,0,0.011
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.004
109,109-Kuhlau-sonatineop60n1,,-1,0,90,1,0.019
110,110-Haendel-concertogrosso3,,1,1,86,0,0.007
111,111-Mozart-sonateKV570,W. A. Mozart,-2,-2,96,4,0.137
112,112-Haydn-fantasia,,0,0,68,1,0.011
113,113-Gretchaninoff-retour,A. Gretchaninoff,1,1,89,0,0.009
114,114-Clementi-rondoSonateop25,M. Clementi,1,1,85,0,0.010
115,115-Clementi-sonatineop36n1,M. Clementi,0,1,91,0,0.017
117,117-Schumann-trio2,R. Schumann,-5,-5,72,0,0.006
118,118-Greensleeves,,-2,-1,75,0,0.008
119,119-Mendelssohn-romances31op67,,-3,-3,74,1,0.023
120,120-Bach-gavotte,J. S. Bach,1,1,130,0,0.020
121,121-Beethoven-adagioSonate1op2,L. v. Beethoven,-1,-1,51,1,0.014
122,122-pop,,0,1,58,0,0.005
123,123-Mozart-Canzonetta,W. A. Mozart,2,2,60,1,0.005
124,124-Schubert-quatuor13op29,F. Schubert,0,0,82,0,0.010
125,125-Wolf-melodie5,H. Wolf,3,2,66,0,0.006
126,126-Milhaud-suiteProvencale,D. Milhaud,0,3,61,0,0.006
127,127-Lemoine-etude38,H. Lemoine,0,1,93,0,0.009
128,128-Wolf-melodiesItalienne26,H. Wolf,-3,-2,94,2,0.014
129,129-Mozart-sonateKV331,W. A. Mozart,3,3,60,0,0.008
130,130-Haendel-concertogrosso10,G. F. Haendel,-1,-1,85,0,0.025
131,131-negrospiritual,,1,2,73,0,0.012
132,132-Bach-Brandegourgeois4,J. S. Bach,1,1,108,0,0.008
133,133-Mozart-KV282,W. A. Mozart,-3,-2,107,0,0.015
134,134-Purcell-gigue,H. Purcell,0,0,81,0,0.010
135,135-Schumann-concertola,R. Schumann,-1,-1,66,1,0.012
136,136-Schumann-Myrten25op25,R. Schumann,-3,-3,77,0,0.006
138,138-Wolf-melodie1,,3,3,90,1,0.011
140,140-Clementi-sonate3op25,M. Clementi,-2,-1,112,1,0.022
141,141-Puig-Roget,H. Puig-Roget,0,0,67,0,0.009
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.010
143,143-Wolf-melodiesespagnoles1,H. Wolf,-1,-1,91,2,0.012
144,144-Wolf-melodiesespagnoles13,H. Wolf,2,2,67,1,0.005
145,145-Clementi-sonate3op25,M. Clementi,-2,-1,87,1,0.020
146,146-Clementi-sonatine2op35,M. Clementi,1,1,117,0,0.016
147,147-Beethoven-rondosonateop28,L. v. Beethoven,2,2,56,0,0.007
148,148-Mozart-concertofluteKV314,W. A. Mozart,2,2,61,0,0.016
149,149-Wolf-melodiesespagnoles2,H. Wolf,0,0,91,2,0.007
151,151-Mozart-duettinoDonJuanI97,W.A. Mozart,3,3,70,0,0.007
152,152-Clementi-sonate5op36,M. Clementi,0,0,89,0,0.009
153,153-Wolf-chansonsItaliennes21,D. F. Kuhlau,-1,0,90,1,0.018
154,154-Clementi-sonatine1op37,M. Clementi,-3,-3,83,0,0.032
155,155-CPEBach-ariavar2,C.P.E. Bach,3,3,57,0,0.004
156,156-Haendel-hornpipeconcertogrosso7,G.F. Haendel,-2,-1,79,0,0.044
157,157-Wolf-melodiesitaliennes20,H. Wolf,-2,-2,96,1,0.010
158,158-Beethoven-quatuor1op18,L. v. Beethoven,-1,0,94,2,0.049
159,159-Dussek-rondo,J.L. Dussek,-2,-2,141,0,0.019
160,160-Beethoven-trio2op70,L. v. Beethoven,0,0,49,0,0.005
161,161-Rimsky-Korsakov-Scheherazade,N Rimsky-Korsakov,1,1,117,0,0.026
162,162-Chopin-nocturne1op32,F. Chopin,5,-7,53,53,0.015
163,163-Beethoven-septuorop20,L.v. Beethoven,-3,-3,61,0,0.014
164,164-Clementi-rondosonatine2op38,M. Clementi,-2,-2,53,0,0.006
165,165-Balbastre-pastorale,C. Balbastre,0,0,57,0,0.007
168,168-Beethoven-quatuor1op18,L. v. Beethoven,-1,-4,94,2,0.006
169,169-Wolf-chantsitaliens29,H. Wolf,0,0,93,7,0.015
171,171-Mozart-concertobasson,W. A. Mozart,-1,-1,79,1,0.061
172,172-Beethoven-trio2op70,,0,0,65,0,0.008
173,173-Kuhlau-sonative1op60,F. Kuhlau,-1,-1,132,1,0.030
174,174-negrospiritual,,0,0,69,0,0.012
177,177-Boulnois-berceuse,M. Boulnois,0,1,84,2,0.014
178,178-Poulenc,F. Poulenc,2,3,85,0,0.009
179,179-Clementi-canone33,M. Clementi,0,0,83,2,0.009
180,180-Haendel-concertogrosso9op6,G.F. Haendel,-1,-1,58,0,0.007
201,201-Beethoven-variation1,L.v. Beethoven,1,1,97,0,0.014
202,202-Bach-sarabande,J. S. Bach,-1,-1,86,1,0.008
203,203-Listz-preludes,F. Liszt,0,0,113,2,0.022
205,205-Bach-credo,,2,2,105,0,0.018
206,206-Beethoven-sonateop26,,-4,-4,67,0,0.007
207,207-Bach-aria,,1,1,134,5,0.029
209,209-Beethoven-rondoop13,,-3,-3,87,0,0.014
210,210-Schubert-benedictus,,1,1,78,2,0.015
211,211-Haydn,F. J. Haydn,0,0,132,0,0.038
213,213-Beethoven-sonate2op14,L. V. Beethoven,1,1,85,3,0.008
214,214-Schumann-trio3,,-3,-3,128,5,0.283
215,215-Debussy-passepied,C. Debussy,3,5,51,0,0.005
216,216-Haendel,,2,2,147,0,0.016
217,217-Beethoven-octuorop103,,-2,-1,84,0,0.015
218,218-Beethoven-sonateop28,L. v. Beethoven,-1,-1,85,1,0.009
219,219-Schubert-scherzo,,-2,-2,80,0,0.008
220,220-Mozart-sonateKV281,,-3,-2,136,0,0.027
221,221-Monteverdi-orfeo,,-1,-2,31,0,0.003
222,222-Bartok-burlesque,B. Bartok,0,-2,66,0,0.009
223,223-Monteverdi-Orfeo,,0,0,43,0,0.003
224,224-Schumann-trio3op110,,-2,-2,61,1,0.009
225,225-Beethoven-variationsop24,,-1,-1,97,2,0.011
226,226-Milhaud-Boeuf,D. Milhaud,0,0,102,2,0.011
227,227-Mozart-quintetK407,,-2,-2,105,1,0.011
228,228-Schuman-myrthen7op25,,-5,7,62,45,0.007
229,229-Liszt-melodie,F. Liszt,1,-3,81,1,0.012
230,230-Schumann-trio2,,-1,0,74,2,0.008
231,231-Duparc-elegie,,-1,0,47,6,0.003
232,232-Beethoven-sonateop22,,-3,-3,70,1,0.024
233,233-Debussy-cloches,C. Debussy,4,4,64,0,0.006
234,234-Beethoven-symphonie2op36,,3,3,74,0,0.008
235,235-Schumann-quatuor1op41,,0,0,142,2,0.023
236,236-Schubert-scherzo,F. Schubert,1,1,82,0,0.013
237,237-Beethoven-symphonie6,M.v. Beethoven,-2,-2,122,0,0.035
239,239-Beethoven-themavar,,1,1,71,0,0.006
240,240-Haydn-sonate5,J. Haydn,0,0,124,0,0.012
241,241-Haendel-sicilianaconcertogrosso8,,-3,-3,116,0,0.027
243,243-Strauss-melodie1op56,,-1,-3,87,3,0.010
244,244-Bach-concerto1violon,J. S. Bach,0,1,129,1,0.180
245,245-Debussy-Arabesque2,C. Debussy,1,1,184,6,0.049
246,246-Mozart-marcheflute,,-1,-1,97,0,0.010
247,247-Schubert-Benedictus,F. Schubert,1,1,41,0,0.005
248,248-Mozart-sonateKV280,,-4,-4,97,1,0.011
249,249-Mozart-andateKV9b,W. A. Mozart,-2,-2,128,6,0.025
250,250-Cliquet-Pleyel,,0,0,99,0,0.010
251,251-Schumann-Myrthen10op25,,-3,-3,67,0,0.004
252,252-Kuhlau-sonatine2op60,D. F. Kuhlau,3,3,68,0,0.008
